ProductName,ProductID,OriginalPrice,SalePrice,ProductURL,Case,Dial,Strap,Movement,WaterResistant,img_url_1,img_url_2,img_url_3,img_url_4,img_url_5
Casio Baby-G,No:BGD560CU-9,HKD 790,HKD 355,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901670/cm-0/d-0,Diameter 44.7 mm Thickness 12.5 mm Shape Round Glass Mineral Glass,Color,Color Yellow Width Material PU,Quartz,20 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201910/5372972649198999670.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio G-Shock H1000,No:GBDH1000-1,"HKD 3,680","HKD 2,870",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905166/cm-0/d-0,Diameter       63 mm       Thickness       20.4 mm       Shape       Round       Glass       Mineral Glass,Color       Black,Color       Black       Width               Material       PU,Solar,20 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202005/4663007987104486823.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio G-Shock,No:GA700DE-2A,"HKD 1,260",HKD 756,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901675/cm-0/d-0,Diameter 57.5 mm Thickness 18.4 mm Shape Round Glass Mineral Glass,Color,Color Blue Width Material PU,Quartz,20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201910/4889979796469520248.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio Sports,No:LA680WGA-9C,HKD 488,HKD 292,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901686/cm-0/d-0,Diameter 33.5 mm Thickness 8.6 mm Shape Glass,Color,Color Gold Width Material Stainless Steel,Quartz,,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201910/5066413528141630112.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio Baby-G,No:BGA240L-7A,"HKD 1,040",HKD 520,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901666/cm-0/d-0,Diameter 46.4 mm Thickness 15.3 mm Shape Round Glass Mineral Glass,Color Multi Color,Color Multi Color Width Material PU,Quartz,10 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201910/5659596536810184490.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio Baby-G,No:BGA240-2A2,HKD 930,HKD 500,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901663/cm-0/d-0,Diameter 46.4 mm Thickness 15.3 mm Shape Round Glass Mineral Glass,Color White,Color Blue Width Material PU,,10 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201910/5355754177357525266.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio ProTrek,No:PRW50FC-1,"HKD 5,190","HKD 3,373",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906494/cm-0/d-0,Diameter       47.7 mm       Thickness       13.3 mm       Shape       Round       Glass       Sapphire Glass,Color       Black,Color       Black       Width               Material       PU,Quartz,10 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202009/4691350161356776070.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio G-Shock,No:GMAS110HT-9A,"HKD 1,420",HKD 850,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-902283/cm-0/d-0,Diameter 49 mm Thickness 15.8 mm Shape Round Glass Mineral Glass,Color Yellow,Color Yellow Width Material PU,,20 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201912/4942976911604495329.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio G-Shock H1000,No:GBDH1000-4,"HKD 3,680","HKD 2,870",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905168/cm-0/d-0,Diameter       63 mm       Thickness       20.4 mm       Shape       Round       Glass       Mineral Glass,Color       Black,Color       Red       Width               Material       PU,Solar,20 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202005/5576079852039207606.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio G-Shock,No:GAX100MB-4A,"HKD 1,430",HKD 786,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901922/cm-0/d-0,Diameter 55 mm Thickness 16.9 mm Shape Round Glass Mineral Glass,Color,Color Red Width Material PU,,20 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202011/5487189214310959418.JPG_700x650.ashx,N\A,N\A,N\A,N\A
Casio ProTrek,No:PRWS6100Y-1,"HKD 5,490","HKD 3,019",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905702/cm-0/d-0,Diameter 58 mm Thickness 12.8 mm Shape Round Glass Sapphire Glass,Color Black,Color Black Width Material PU,Solar,10 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202006/4880618884757645256.jpg_700x650.ashx,N\A,N\A,N\A,N\A
