ProductName,ProductID,OriginalPrice,SalePrice,ProductURL,Case,Dial,Strap,Movement,WaterResistant,img_url_1,img_url_2,img_url_3,img_url_4,img_url_5
Seiko Domestic,SBTM266J,"HKD 2,880","HKD 1,872",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905268/cm-0/d-0,Diameter 37.7 mm Thickness 8 mm Shape Round Glass Sapphire Glass,Color White,Color Silver Width Material Stainless Steel,Solar,10 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202006/4742128690629436109.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Criteria,SSC677P1,"HKD 2,980","HKD 1,937",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904819/cm-0/d-0,Diameter 43 mm Thickness 10 mm Shape Round Glass Sapphire Glass,Color Black,Color Silver Width 21 mm Material Stainless Steel,Quartz (V175),10 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202005/5590443070661867802.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Domestic,SBDL045J,"HKD 4,180","HKD 2,717",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904787/cm-0/d-0,Diameter 47 mm Thickness 12 mm Shape Round Glass Hardlex Crystal,Color Black,Color Black Width 21 mm Material Silicone,Quartz (V175),20 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202005/5482192453799141819.png_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Criteria,SNDH23P1,"HKD 2,980","HKD 1,192",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901760/cm-0/d-0,Diameter 44.8 mm Thickness Shape Round Glass Sapphire Glass,Color Black,Color Multi Color Width Material Nylon,Quartz,10 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201910/5514750109517786197.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Prospex,SRPC93K1,"HKD 3,860","HKD 2,309",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905296/cm-0/d-0,Diameter       43.8 mm       Thickness       12.8 mm       Shape       Round       Glass       Mineral Glass,Color       Blue,Color       Silver       Width       22 mm       Material       Stainless Steel,Mechanical(4R35),20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202006/4726585452649400354.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Sportura,SSC479P1,"HKD 4,580","HKD 1,632",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904368/cm-0/d-0,Diameter 44.2 mm Thickness 11.9 mm Shape Round Glass Sapphire Glass,Color Black,Color Silver Width Material Stainless Steel,Solar,10 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202001/5597397927419625788.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Prospex,SSC707P1,"HKD 3,250","HKD 1,950",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-902231/cm-0/d-0,Diameter 44 mm Thickness 13.7 mm Shape Round Glass Hardlex Crystal,Color Black,Color Black Width Material Calf,Solar,20 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201912/5527747098009865202.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Solar,SBTM253J,"HKD 3,180","HKD 1,800",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901758/cm-0/d-0,Diameter 40 mm Thickness 10 mm Shape Round Glass Sapphire Glass,Color Navy,Color Silver Width Material Stainless Steel,Solar,10 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201910/5396154501037076709.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Solar,SUP382P1,"HKD 2,340","HKD 1,500",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906746/cm-0/d-0,Diameter 30 mm Thickness 7 mm Shape Round Glass Harden Glass,Color White MOP,Color Silver Width Material Stainless Steel,Solar (V115),5 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202010/5616722631729858576.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Quartz,SRZ528P1,"HKD 2,450","HKD 1,347",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906738/cm-0/d-0,Diameter 32 mm Thickness 7.9 mm Shape Round Glass Harden Glass,Color MOP,Color Gold Width Material Stainless Steel,Quartz (7N01),5 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202010/5255889102236708024.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Quartz,SRZ512P1,"HKD 2,340","HKD 1,287",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906737/cm-0/d-0,Diameter 29.4 mm Thickness 7.4 mm Shape Round Glass Harden Glass,Color Silver,Color Gold Width Material Stainless Steel,Quartz (7N01),5 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202010/5401025759407090790.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Quartz,SRZ510P1,"HKD 2,320","HKD 1,500",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906736/cm-0/d-0,Diameter 29.4 mm Thickness 7.4 mm Shape Round Glass Harden Glass,Color Silver,Color White & Rose Gold Width Material Stainless Steel,Quartz (7N01),5 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202010/5651677758547100798.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Quartz,SRZ508P1,"HKD 2,320","HKD 1,500",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906735/cm-0/d-0,Diameter 29.4 mm Thickness 7.4 mm Shape Round Glass Harden Glass,Color Silver,Color Silver & Gold Width Material Stainless Steel,Quartz (7N01),5 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202010/5675612235802981511.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Quartz,SRZ504P1,"HKD 2,480","HKD 1,364",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906734/cm-0/d-0,Diameter 28.5 mm Thickness 7.2 mm Shape Round Glass Harden Glass,Color White,Color Gold Width Material Stainless Steel,Quartz (7N01),5 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202010/4760859777720141903.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Quartz,SRZ502P1,"HKD 2,410","HKD 1,325",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906733/cm-0/d-0,Diameter 28.5 mm Thickness 7.2 mm Shape Round Glass Harden Glass,Color White,Color Silver Width Material Stainless Steel,Quartz (7N01),5 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202010/4861920062189960219.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Quartz,SFQ803P1,"HKD 2,260","HKD 1,500",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906730/cm-0/d-0,Diameter 29.6 mm Thickness 6.4 mm Shape Round Glass Harden Glass,Color MOP,Color Silver Width Material Stainless Steel,Quartz (7N00),5 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202010/5627225254532715761.jpg_700x650.ashx,N\A,N\A,N\A,N\A
