ProductName,ProductID,OriginalPrice,SalePrice,ProductURL,Case,Dial,Strap,Movement,WaterResistant,img_url_1,img_url_2,img_url_3,img_url_4,img_url_5
Solvil et Titus,W06-03097-003,"HKD 1,380",HKD 500,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901790/cm-0/d-0,Diameter       41mm       Thickness       6.4 mm       Shape       Round       Glass       Mineral Glass,Color       Silver White,Color       Brown       Width       20 mm       Material       Leather,Quartz,3 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202005/5508463807188629049.jpg_700x650.ashx,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201910/4808959340105706815.jpg_700x650.ashx,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201910/4934838994425171986.jpg_700x650.ashx,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201910/5275378115065590332.jpg_700x650.ashx,N\A
Solvil et Titus,W06-03097-004,"HKD 1,380",HKD 500,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901791/cm-0/d-0,Diameter       41mm       Thickness       6.4 mm       Shape       Round       Glass       Mineral Glass,Color       Rose Gold,Color       Pink       Width       20 mm       Material       Leather,Quartz,3 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201910/4720097104859440285.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Solvil et Titus,W06-03097-005,"HKD 1,380",HKD 500,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901792/cm-0/d-0,Diameter       41mm       Thickness       6.4 mm       Shape       Round       Glass       Mineral Glass,Color       Blue,Color       Navy Blue       Width       20 mm       Material       Leather,Quartz,3 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201910/4862025864461957178.jpg_700x650.ashx,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201910/5137154493790203485.jpg_700x650.ashx,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201910/5362532173627182926.jpg_700x650.ashx,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201910/4941104985046004769.jpg_700x650.ashx,N\A
Solvil et Titus,W06-03110-001,"HKD 1,280",HKD 500,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901793/cm-0/d-0,Diameter       42 mm       Thickness       8.1 mm       Shape       Round       Glass       Mineral Glass,Color       Silver White,Color       Military Green       Width       20 mm       Material       Canvas,Quartz,3 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201910/4997363084857742678.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Solvil et Titus,W06-03110-002,"HKD 1,480",HKD 500,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901794/cm-0/d-0,Diameter       42 mm       Thickness       8.1 mm       Shape       Round       Glass       Mineral Glass,Color       Silver White,Color       Brown       Width       20 mm       Material       Leather,Quartz,3 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201910/5049985706336627385.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Solvil et Titus,W06-03107-001,"HKD 1,480",HKD 500,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901796/cm-0/d-0,Diameter       40 mm       Thickness       10 mm       Shape       Round       Glass       Mineral Glass,Color       Silver White,Color       Silver       Width       20 mm       Material       Stainless Steel,Quartz,3 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201910/4836204262863717167.jpg_700x650.ashx,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201910/5298718439889803022.jpg_700x650.ashx,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201910/5079176509827819638.jpg_700x650.ashx,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201910/4722488171970036251.jpg_700x650.ashx,N\A
Solvil et Titus,W06-03107-002,"HKD 1,480",HKD 500,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901797/cm-0/d-0,Diameter       40 mm       Thickness       10 mm       Shape       Round       Glass       Mineral Glass,Color       Blue,Color       Silver       Width       20 mm       Material       Stainless Steel,Quartz,3 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201910/5025864413714500749.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Solvil et Titus,W06-03107-003,"HKD 1,480",HKD 500,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901798/cm-0/d-0,Diameter       40 mm       Thickness       10 mm       Shape       Round       Glass       Mineral Glass,Color       Green,Color       Silver       Width       20 mm       Material       Stainless Steel,Quartz,3 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201910/5585784845534144502.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Solvil et Titus,W06-03107-005,"HKD 1,680",HKD 500,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901800/cm-0/d-0,Diameter       40 mm       Thickness       10 mm       Shape       Round       Glass       Mineral Glass,Color       Silver White,Color       Red       Width       20 mm       Material       Leather,Quartz,3 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202008/5458377969118674702.jpg_700x650.ashx,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201910/5512153511629751255.jpg_700x650.ashx,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201910/5349108494190844692.jpg_700x650.ashx,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201910/5381407117390575815.jpg_700x650.ashx,N\A
Solvil et Titus,W06-03086-001,"HKD 1,480",HKD 500,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901802/cm-0/d-0,Diameter       42 mm       Thickness       8.2 mm       Shape       Round       Glass       Mineral Glass,Color       Black,Color       Silver       Width       20 mm       Material       Stainless Steel,Quartz,3 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201910/4868244041313355418.jpg_700x650.ashx,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201910/4709259530441499791.jpg_700x650.ashx,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201910/5079347758971351205.jpg_700x650.ashx,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201910/4676803393912562333.jpg_700x650.ashx,N\A
