ProductName,ProductID,OriginalPrice,SalePrice,ProductURL,Case,Dial,Strap,Movement,WaterResistant,img_url_1,img_url_2,img_url_3,img_url_4,img_url_5
Citizen xC,No:EO1194-53W,"HKD 3,780","HKD 3,024",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906885/cm-0/d-0,Diameter 33 mm Thickness 8.4 mm Shape Round Glass Crystal Glass,Color Red,Color Rose Gold Width Material Stainless Steel,Eco-Drive,5 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202011/5310942150454334929.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Citizen xC,No:EO1195-51W,"HKD 3,580","HKD 2,864",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906887/cm-0/d-0,Diameter       33 mm       Thickness       8.4 mm       Shape       Round       Glass       Crystal Glass,Color       Pink,Color       Silver       Width               Material       Stainless Steel,Eco-Drive,5 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202011/5294239921302270029.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Citizen xC,No:EW2420-51A,"HKD 3,450","HKD 2,760",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900352/cm-0/d-0,Diameter 32 mm Thickness 14 mm Shape Round Glass Sapphire Glass,Color Sliver,Color Silver Width 8.5 mm Material Stainless Steel,Solar,5 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202010/4714546703097405932.JPG_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Lukia,No:SRWZ19P1,"HKD 3,780","HKD 3,326",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906674/cm-0/d-0,Diameter 36.4 mm Thickness Shape Round Glass Sapphire Glass,Color White,Color Silver Width Material Stainless Steel,Quartz (7T12),10 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202010/4854645939299191732.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Lukia,No:SRWZ05P1,"HKD 2,680","HKD 2,358",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906339/cm-0/d-0,Diameter 36 mm Thickness Shape Round Glass Sapphire Glass,Color Light Blue,Color Silver Width Material Stainless Steel,Quartz (7T12),10 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202008/5064330821380032393.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Lukia,No:SRWZ07P1,"HKD 2,680","HKD 2,358",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906340/cm-0/d-0,Diameter 36 mm Thickness Shape Round Glass Sapphire Glass,Color Green,Color Silver Width Material Stainless Steel,Quartz (7T12),10 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202008/5759014211666919148.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Lukia,No:SRWZ03P1,"HKD 2,680","HKD 2,358",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906338/cm-0/d-0,Diameter 36 mm Thickness Shape Round Glass Sapphire Glass,Color Ivory,Color Silver Width Material Stainless Steel,Quartz (7T12),10 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202008/5242296566602408687.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio Baby-G,No:BGA250-1A3,HKD 880,HKD 704,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906199/cm-0/d-0,Diameter 45.1 mnm Thickness 13.3 mm Shape Round Glass Mineral Glass,Color Pink,Color Black Width Material PU,Quartz,10 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202007/5058776992771617460.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio Baby-G,No:BGA250-2A2,HKD 880,HKD 704,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906200/cm-0/d-0,Diameter 45.1 mnm Thickness 13.3 mm Shape Round Glass Mineral Glass,Color Blue,Color Navy Width Material PU,Quartz,10 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202007/4683046030408140448.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio Baby-G,No:BGA250-7A2,HKD 880,HKD 704,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904935/cm-0/d-0,Diameter 45.1 mm Thickness 13.3 mm Shape Round Glass Mineral Glass,Color Multi Color,Color White Width Material PU,Quartz,10 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202005/5631771423232024344.jpg_700x650.ashx,N\A,N\A,N\A,N\A
