ProductName,ProductID,OriginalPrice,SalePrice,ProductURL,Case,Dial,Strap,Movement,WaterResistant,img_url_1,img_url_2,img_url_3,img_url_4,img_url_5
Seiko 5 Sports,No:SRPF69K1,"HKD 3,480","HKD 2,784",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-907020/cm-0/d-0,Diameter       42.5 mm       Thickness       13.4 mm       Shape       Round       Glass       Hardlex Crystal,Color       Blue,Color       Blue & White       Width               Material       Nylon,Mechanical (4R36),10 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202012/4941931521322538056.png_700x650.ashx,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202012/5053916301016942403.jpg_700x650.ashx,N\A,N\A,N\A
Seiko 5 Sports,No:SRPE51K1,"HKD 1,980","HKD 1,584",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905229/cm-0/d-0,Diameter       40 mm       Thickness       12 mm       Shape       Round       Glass       Hardlex crystal,Color       Grey,Color       Silver       Width               Material       Stainless Steel,Automatic (4R36),10 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202006/4878531198940647676.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko 5 Sports,No:SRPE55K1,"HKD 1,980","HKD 1,584",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905231/cm-0/d-0,Diameter       40 mm       Thickness       12 mm       Shape       Round       Glass       Hardlex crystal,Color       Black,Color       Silver       Width               Material       Stainless Steel,Automatic (4R36),10 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202006/5408577277989236288.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Prospex,No:SNE535P1,"HKD 3,290","HKD 2,632",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900660/cm-0/d-0,Diameter 46.7 mm Thickness 12.7 mm Shape Round Glass Sapphire Glass,Color Military Green,Color Military Green Width 22 mm Material Silicon,Solar,20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201909/4620911251826971034.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Prospex,No:SNE543P1,"HKD 3,290","HKD 2,632",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901083/cm-0/d-0,Diameter 46.7 mm Thickness 12 mm Shape Round Glass Hardlex Crystal,Color Black,Color Dark Green Width 22 mm Material Silicon,Mechanical(V157),20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201910/5702590355297874806.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Prospex,No:SRPD23K1,"HKD 3,860","HKD 3,088",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-902353/cm-0/d-0,Diameter 43.8 mm Thickness 13.4 mm Shape Round Glass Hardlex Crystal,Color Blue,Color Silver Width Material Stainless Steel,Automatic(4R35),20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201907/5355992012961370030.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio G-Shock,No:DW5600E-1V,HKD 760,HKD 608,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906203/cm-0/d-0,Diameter 48.9 × 42.8 mm Thickness 13.4 mm Shape Rectangle Glass Mineral Glass,Color Multi Color,Color Black Width Material PU,Quartz,20 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202007/5368858671332656054.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio G-Shock,No:DW5600SK-1,HKD 890,HKD 712,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900260/cm-0/d-0,Diameter       43 mm       Thickness       13.4 mm       Shape       Rectangular       Glass       Mineral Glass,Color       Grey,Color       Grey       Width               Material       PU,Quartz,20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201907/5359891384816043291.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio G-Shock,No:DW5610SU-8,HKD 880,HKD 704,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904931/cm-0/d-0,Diameter 48.9 x 43.8  mm Thickness 13.5 mm Shape Rectangle Glass Mineral Glass,Color Black,Color Grey Width Material PU,Quartz,20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202005/5074905718312390170.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio G-Shock,No:DW5610SU-3,HKD 880,HKD 704,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904919/cm-0/d-0,Diameter 48.9 x 43.8 mm Thickness 13.5 mm Shape Rectangle Glass Mineral Glass,Color Black,Color Military Green Width Material PU,Quartz,20 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202005/5753549120613451162.jpg_700x650.ashx,N\A,N\A,N\A,N\A
