ProductName,ProductID,OriginalPrice,SalePrice,ProductURL,Case,Dial,Strap,Movement,WaterResistant,img_url_1,img_url_2,img_url_3,img_url_4,img_url_5
Casio G-Shock x Baby-G,No:LOV20A-7A,"HKD 2,280","HKD 1,824",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906893/cm-0/d-0,Diameter       55 mm & 46.3 mm       Thickness       16.9 mm & 15.8 mm       Shape       Round       Glass       Mineral Glass,Color       White,Color       White       Width               Material       PU,Quartz,20 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202011/4667127515202635611.jpg_700x650.ashx,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202011/5634702568482807674.jpg_700x650.ashx,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202011/5572661413364560402.jpg_700x650.ashx,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202011/5112400953427574533.jpg_700x650.ashx,N\A
Casio G-Shock x Baby-G,No:LOV20B-4,"HKD 1,580","HKD 1,264",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906894/cm-0/d-0,Diameter       48.9 mm & 44.7 mm       Thickness       13.4 mm & 12.5 mm       Shape       Rectangle       Glass       Mineral Glass,Color       White,Color       Red       Width               Material       PU,Quartz,20 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202011/5640697977131916059.png_700x650.ashx,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202011/5274809113657906250.jpg_700x650.ashx,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202011/4619222635692700099.jpg_700x650.ashx,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202011/5455329535665475233.jpg_700x650.ashx,N\A
Casio G-Shock,No:GA400GB-1A9,"HKD 1,330","HKD 1,064",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900329/cm-0/d-0,Diameter 52 mm Thickness 18.3 mm Shape Round Glass Mineral Glass,Color Black,Color Black Width Material PU,Quartz,20 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201907/5588734836101755961.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio Baby-G,No:BA110-1A,"HKD 1,190",HKD 952,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900263/cm-0/d-0,Diameter 43 mm Thickness 15.8 mm Shape Round Glass Mineral Glass,Color Gold,Color Black Width Material PU,Quartz,10 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202008/5502191409566504980.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko 5 Sports,No:SRPF69K1,"HKD 3,480","HKD 2,784",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-907020/cm-0/d-0,Diameter       42.5 mm       Thickness       13.4 mm       Shape       Round       Glass       Hardlex Crystal,Color       Blue,Color       Blue & White       Width               Material       Nylon,Mechanical (4R36),10 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202012/4941931521322538056.png_700x650.ashx,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202012/5053916301016942403.jpg_700x650.ashx,N\A,N\A,N\A
Seiko Domestic,No:SSC795J1,,N\A,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-907165/cm-0/d-0,Diameter 44.5 mm Thickness 13.7 mm Shape Round Glass Sapphire Glass,Color Black,Color Silver Width Material Stainless Steel,Solar (V192),20 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202101/4684859202013301752.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Domestic,No:SSC757J1,,N\A,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905163/cm-0/d-0,Diameter 45 mm Thickness 13 mm Shape Round Glass Sapphire Glass,Color Black,Color Silver Width Material Stainless Steel,Solar (V192),20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202005/4966027285111682637.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio G-Shock,No:GMDS6900SR-7,HKD 940,HKD 752,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906905/cm-0/d-0,Diameter 48.8 mm Thickness 12.7 mm Shape Round Glass Mineral Glass,Color Rose Gold,Color Transparent Width Material PU,Quartz,20 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202011/5403444037253275345.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio G-Shock,No:GMAS110SR-7A,"HKD 1,340","HKD 1,072",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906208/cm-0/d-0,Diameter 49 mm Thickness 15.8 mm Shape Round Glass Mineral Glass,Color Rose Gold,Color Transparent Width Material PU,Quartz,20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202007/5706549047644178389.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio G-Shock,No:GA140GM-1A1,"HKD 1,080",HKD 864,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904918/cm-0/d-0,Diameter       55 mm       Thickness       16.9 mm       Shape       Round       Glass       Mineral Glass,Color       Silver,Color       Black       Width               Material       PU,Quartz,20 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202005/4656411164345730642.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio Baby-G,No:BA130-1A2,"HKD 1,190",HKD 952,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906196/cm-0/d-0,Diameter       46.3 mm       Thickness       15.8 mm       Shape       Round       Glass       Mineral Glass,Color       Grey,Color       Black       Width               Material       PU,Quartz,10 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202007/4662077289038538775.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Presage,No:SRPF25J1,"HKD 3,120","HKD 2,496",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-907119/cm-0/d-0,Diameter 39.2 mm Thickness Shape Round Glass Sapphire Glass,Color Navy,Color Silver Width Material Stainless Steel,Automatic (4R35),10 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202012/5441419574995217860.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Presage,No:SRPF29J1,"HKD 2,890","HKD 2,312",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-907120/cm-0/d-0,Diameter 34.2 mm Thickness Shape Round Glass Sapphire Glass,Color Navy,Color Silver Width Material Stainless Steel,Automatic (4R35),10 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202012/4910971659211981328.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Citizen Mechanical,No:NP1010-01L,"HKD 3,510","HKD 2,808",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-902074/cm-0/d-0,Diameter 39.6 mm Thickness 11.2 mm Shape Round Glass Sapphire Glass,Color Blue,Color Black Width Material Stainless Steel,Mechanical,10 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201911/4764817020634036515.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Citizen Mechanical,No:PD7150-03L,"HKD 2,420",HKD 980,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900968/cm-0/d-0,Diameter       29 mm       Thickness       10.6 mm       Shape       Round       Glass       Sapphire Glass,Color       Navy,Color       Black       Width       12 mm       Material       Calf,Mechanical,5 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202010/4750074211205601963.JPG_700x650.ashx,N\A,N\A,N\A,N\A
Casio G-Shock,No:GA110RG-7A,"HKD 1,350","HKD 1,080",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900892/cm-0/d-0,Diameter       51 mm       Thickness       16.9 mm       Shape       Round       Glass       Mineral Glass,Color       Black,Color       White       Width               Material       PU,Quartz,20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201907/5132154365011468115.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio Baby-G,No:BA110RG-7A,"HKD 1,190",HKD 952,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900266/cm-0/d-0,Diameter       43 mm       Thickness       15.8 mm       Shape       Round       Glass       Mineral Glass,Color       Pink,Color       White       Width               Material       PU,Quartz,10 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202010/5647749219296174178.JPG_700x650.ashx,N\A,N\A,N\A,N\A
Casio G-Shock,No:DW5600THB-7,HKD 898,HKD 673,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904453/cm-0/d-0,Diameter 43 mm Thickness 15.8 mm Shape Square Glass Mineral Glass,Color,Color Width Material Resin,,20 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202002/4624104645256973268.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio G-Shock,No:GA110GW-7A,"HKD 1,330","HKD 1,064",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900891/cm-0/d-0,Diameter       51 mm       Thickness       16.9 mm       Shape       Round       Glass       Mineral Glass,Color       Black,Color       White       Width               Material       PU,Quartz,20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201907/4849931505047408850.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio Baby-G,No:BA110-7A1,"HKD 1,190",HKD 952,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900262/cm-0/d-0,Diameter       43 mm       Thickness       15.8 mm       Shape       Round       Glass       Mineral Glass,Color       Rose Gold,Color       White       Width               Material       PU,Quartz,10 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202010/4617268195759645580.JPG_700x650.ashx,N\A,N\A,N\A,N\A
Casio G-Shock,No:GA110-1B,"HKD 1,170",HKD 936,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900317/cm-0/d-0,Diameter       51 mm       Thickness       16.9 mm       Shape       Round       Glass       Mineral Glass,Color       Black,Color       Black       Width               Material       PU,Quartz,20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201907/5328328700620055894.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio Baby-G,No:BA110BC-1A,"HKD 1,190",HKD 952,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900887/cm-0/d-0,Diameter       43 mm       Thickness       15.8 mm       Shape       Round       Glass       Mineral Glass,Color       Black,Color       Black       Width               Material       PU,Quartz,10 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201907/5572247322329654725.jpg_700x650.ashx,N\A,N\A,N\A,N\A
