ProductName,ProductID,OriginalPrice,SalePrice,ProductURL,Case,Dial,Strap,Movement,WaterResistant,img_url_1,img_url_2,img_url_3,img_url_4,img_url_5
Seiko 5 Sports,No:SRPD69K1,"HKD 2,600","HKD 2,080",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901049/cm-0/d-0,Diameter       42.5 mm       Thickness       13.4 mm       Shape       Round       Glass       Hardlex Crystal,Color       Red,Color       Silver       Width       22 mm       Material       Stainless Steel,Mechanical(4R36),10 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201909/5077660220817226508.png_700x650.ashx,N\A,N\A,N\A,N\A
Seiko 5 Sports,No:SRPE77K1,"HKD 2,680","HKD 1,608",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906179/cm-0/d-0,Diameter 42.5 mm Thickness 13.4 mm Shape Round Glass Hardlex Crystal,Color Blue,Color Silver Width Material Stainless Steel,Automatic (4R36),10 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202007/5326193266030177134.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko 5 Sports,No:SRPE79K1,"HKD 2,850","HKD 1,710",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906180/cm-0/d-0,Diameter 42.5 mm Thickness 13.4 mm Shape Round Glass Hardlex Crystal,Color Grey,Color Black Width Material Calf & Silicone,Automatic (4R36),10 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202007/5711309243084984517.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Prospex,No:SNJ028P1,"HKD 4,180","HKD 2,508",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900997/cm-0/d-0,Diameter 47.8 mm Thickness Shape Round Glass Mineral Glass,Color Black,Color Black Width 20 mm Material Silicon,Solar,20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201909/5353531728743044733.png_700x650.ashx,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201910/5318230940871626773.jpg_700x650.ashx,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201910/4726313080785364822.jpg_700x650.ashx,N\A,N\A
Seiko Criteria,No:SNDH47P1,"HKD 2,890","HKD 1,878",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904851/cm-0/d-0,Diameter 45 mm Thickness 10 mm Shape Round Glass Sapphire Glass,Color Green & Black,Color Military Green Width Material Nylon,Quartz (7T92),10 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202005/5283697161255044374.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Criteria,No:SNDH31P1,"HKD 2,720","HKD 1,768",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904843/cm-0/d-0,Diameter 45 mm Thickness 12 mm Shape Round Glass Sapphire Glass,Color Black,Color Silver Width Material Stainless Steel,Quartz (7T92),10 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202005/5184804642643843317.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Prospex,No:SSC611P1,"HKD 4,590","HKD 2,754",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-902228/cm-0/d-0,Diameter 45 mm Thickness 11.6 mm Shape Round Glass Sapphire Glass,Color Black,Color Black Width Material Stainless Steel,Solar,10 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201912/5559963738435404419.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Criteria,No:SSC651P1,"HKD 2,980","HKD 1,637",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906095/cm-0/d-0,Diameter       43 mm       Thickness       12 mm       Shape       Round       Glass       Sapphire Glass,Color       Grey,Color       Silver       Width               Material       Stainless Steel,Solar (V176),10 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202006/4779204991214795651.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Automatic,No:SSA389K1,"HKD 2,390","HKD 1,434",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906676/cm-0/d-0,Diameter 42 mm Thickness 10 mm Shape Round Glass Mineral Glass,Color Black,Color Silver Width Material Stainless Steel,Automatic,10 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202010/5044148911978815293.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Automatic,No:SSA391K1,"HKD 2,190","HKD 1,314",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906677/cm-0/d-0,Diameter 42 mm Thickness 15 mm Shape Round Glass Mineral Glass,Color Navy,Color Navy Width Material Leather,Automatic,10 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202010/4949707258731907010.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Presage,No:SSA351J1,"HKD 4,080","HKD 2,448",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-907003/cm-0/d-0,Diameter 42 mm Thickness Shape Round Glass Sapphire Glass,Color Black,Color Silver Width Material Stainless Steel,Automatic (4R57),10 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202012/5594280617551794890.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Chronograph,No:SKS535P1,"HKD 1,320",HKD 792,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905086/cm-0/d-0,Diameter 43 mm Thickness 10 mm Shape Round Glass Hardlex Crystal,Color Silver,Color Silver Width Material Stainless Steel,Quartz (4T57),10 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202005/5454118001627180088.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko 5 Sports,No:SRPE60K1,"HKD 2,380","HKD 1,428",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906561/cm-0/d-0,Diameter 40 mm Thickness 11.5 mm Shape Round Glass Hardlex Crystal,Color Black,Color Silver & Gold Width Material Stainless Steel,Automatic (4R36),10 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202010/4764153962125696677.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Chronograph,No:SSB267P1,"HKD 1,950","HKD 1,170",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-902202/cm-0/d-0,Diameter 44.9 mm Thickness 13.1 mm Shape Round Glass Hardlex Crystal,Color Blue,Color Silver Width Material Stainless Steel,Quartz,10 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201912/4682231496159298121.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Selection,No:SCXP072J,"HKD 1,650",HKD 990,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906100/cm-0/d-0,Diameter               Thickness               Shape       Round       Glass,Color       Silver,Color       Dark Brown       Width               Material       Leather,,,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202006/5626520806423488340.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Quartz,No:SGEH75P1,"HKD 1,380",HKD 828,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906102/cm-0/d-0,Diameter       40 mm       Thickness       9 mm       Shape       Round       Glass       Sapphire Glass,Color       White,Color       Black       Width               Material       Leather,Quartz (7N42),10 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202006/5701709969761767809.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Prospex,No:SSG013P1,"HKD 4,180","HKD 2,508",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-902235/cm-0/d-0,DIAMETER 45 m,E DIAMETER 45 m,DIAMETER 45 mm,N\A,N\A,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201912/4854633454107074852.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Prospex,No:SRPC93K1,"HKD 3,860","HKD 2,309",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905296/cm-0/d-0,Diameter       43.8 mm       Thickness       12.8 mm       Shape       Round       Glass       Mineral Glass,Color       Blue,Color       Silver       Width       22 mm       Material       Stainless Steel,Mechanical(4R35),20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202006/4726585452649400354.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Sportura,No:SSC479P1,"HKD 4,580","HKD 1,632",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904368/cm-0/d-0,Diameter 44.2 mm Thickness 11.9 mm Shape Round Glass Sapphire Glass,Color Black,Color Silver Width Material Stainless Steel,Solar,10 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202001/5597397927419625788.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Criteria,No:SNDH19P1,"HKD 2,730","HKD 1,200",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906093/cm-0/d-0,Diameter       45 mm       Thickness       12 mm       Shape       Round       Glass       Sapphire Glass,Color       Black,Color       Khaki       Width               Material       Nylon,Quartz (7T92),10 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202006/5572914757115018930.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Solar,No:SBTM251J,"HKD 3,180","HKD 1,800",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901757/cm-0/d-0,Diameter 40 mm Thickness 10 mm Shape Round Glass Sapphire Glass,Color White,Color Silver Width Material Stainless Steel,Quartz,10 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201910/5396190105283220011.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Criteria,No:SNDH35P1,"HKD 2,780","HKD 2,224",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900709/cm-0/d-0,Diameter 44 mm Thickness Shape Round Glass Sapphire Glass,Color Blue,Color Silver Width 22 mm Material Stainless Steel,Quartz,10 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201907/5233379471371767858.png_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Lukia,No:SRW812P1,"HKD 3,080","HKD 1,232",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906231/cm-0/d-0,Diameter 36 mm Thickness 10mm Shape Round Glass Sapphire Glass,Color Silver White,Color Red Width Material Leather,Quartz,10ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202008/4620594334245991816.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Solar,No:SBTM253J,"HKD 3,180","HKD 1,800",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901758/cm-0/d-0,Diameter 40 mm Thickness 10 mm Shape Round Glass Sapphire Glass,Color Navy,Color Silver Width Material Stainless Steel,Solar,10 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201910/5396154501037076709.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Lukia,No:SRWZ90P1,"HKD 3,230","HKD 1,938",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901766/cm-0/d-0,Diameter 36 mm Thickness 10 mm Shape Round Glass Sapphire Glass,Color Pink,Color Silver & Rose Gold Width Material Stainless Steel,Quartz,10 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201910/4902495692448530997.jpg_700x650.ashx,N\A,N\A,N\A,N\A
