ProductName,ProductID,OriginalPrice,SalePrice,ProductURL
Seiko Prospex,SRPC93K1,"HKD 3,860","HKD 2,309",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905296/cm-0/d-0
Seiko Prospex,SRPE07K1,"HKD 4,680","HKD 3,744",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905162/cm-0/d-0
Luminox Pacific Diver,XS.3123,"HKD 5,500","HKD 4,400",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905618/cm-0/d-0
Seiko Domestic,SPB181J1,"HKD 6,280",N\A,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-907142/cm-0/d-0
Sinn,1010.010B-2SL,"HKD 22,000","HKD 19,360",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900753/cm-0/d-0
Citizen Satellite Wave,CC5006-06L,"HKD 10,800","HKD 8,640",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906881/cm-0/d-0
Sinn Diving,1010.010-2SL,"HKD 22,000","HKD 19,360",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900751/cm-0/d-0
Seiko Prospex,SLA043J1,"HKD 35,800",N\A,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906920/cm-0/d-0
Seiko Prospex,SPB185J1,"HKD 9,380",N\A,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906996/cm-0/d-0
Seiko Prospex,SPB189J1,"HKD 11,800",N\A,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906998/cm-0/d-0
Luminox Bear Grylls Survival,XB.3741,"HKD 7,600","HKD 6,080",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904621/cm-0/d-0
Citizen Promaster,BN0158-18X,"HKD 2,880","HKD 2,304",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906870/cm-0/d-0
Citizen Promaster,BN0159-15X,"HKD 2,880","HKD 2,304",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906872/cm-0/d-0
Citizen Promaster,JR4065-09E,"HKD 4,000","HKD 3,200",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906891/cm-0/d-0
Citizen Mechanical,NY0111-11E,"HKD 2,880","HKD 2,304",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906892/cm-0/d-0
The Cape 3 Hands Date Mechanical Leather Watch ,W06-03227-007,"HKD 2,580","HKD 2,080",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-907087/cm-0/d-0
The Cape 3 Hands Date Mechanical Leather Watch ,W06-03227-006,"HKD 2,380","HKD 2,080",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-907086/cm-0/d-0
The Cape 3 Hands Date Mechanical Leather Watch ,W06-03227-005,"HKD 2,380","HKD 2,080",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-907085/cm-0/d-0
The Cape 3 Hands Date Mechanical Leather Watch ,W06-03227-004,"HKD 2,380","HKD 2,080",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-907084/cm-0/d-0
The Cape 3 Hands Date Mechanical Leather Watch ,W06-03227-003,"HKD 2,380","HKD 2,080",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-907083/cm-0/d-0
The Cape 3 Hands Date Mechanical Stainless Steel Watch ,W06-03227-002,"HKD 2,680","HKD 2,180",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-907082/cm-0/d-0
The Cape 3 Hands Date Mechanical Stainless Steel Watch ,W06-03227-001,"HKD 2,680","HKD 2,180",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-907081/cm-0/d-0
Seiko Prospex,SPB187J1,"HKD 9,380","HKD 7,504",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906997/cm-0/d-0
Seiko Prospex,SPB191J1,"HKD 10,500",N\A,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906999/cm-0/d-0
Sinn Instrument,105.021-2SL,"HKD 19,200","HKD 16,896",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906852/cm-0/d-0
Sinn Instrument,105.010-2SL,"HKD 16,600","HKD 14,608",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906846/cm-0/d-0
Seiko Domestic,SPB087J1,"HKD 7,050","HKD 4,582",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905290/cm-0/d-0
Seiko Prospex,SRPE29K1,"HKD 4,280","HKD 3,424",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906535/cm-0/d-0
Citizen Mechanical,NY0118-11A,"HKD 2,880","HKD 2,304",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906395/cm-0/d-0
Sinn,1010.023-2SL,"HKD 27,800","HKD 24,464",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900755/cm-0/d-0
Seiko Prospex,SPB143J1,"HKD 8,980",N\A,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906132/cm-0/d-0
