ProductName,ProductID,OriginalPrice,SalePrice,ProductURL
Citizen xC,EO1194-53W,"HKD 3,780","HKD 3,024",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906885/cm-0/d-0
Citizen xC,EW2420-51A,"HKD 3,450","HKD 2,760",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900352/cm-0/d-0
Seiko Lukia,SRWZ19P1,"HKD 3,780","HKD 3,326",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906674/cm-0/d-0
Seiko Lukia,SRWZ05P1,"HKD 2,680","HKD 2,358",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906339/cm-0/d-0
Seiko Lukia,SRWZ07P1,"HKD 2,680","HKD 2,358",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906340/cm-0/d-0
Seiko Lukia,SRWZ03P1,"HKD 2,680","HKD 2,358",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906338/cm-0/d-0
Casio Baby-G,BGA250-1A3,HKD 880,HKD 704,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906199/cm-0/d-0
Casio Baby-G,BGA250-2A2,HKD 880,HKD 704,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906200/cm-0/d-0
Casio Baby-G,BGA250-7A2,HKD 880,HKD 704,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904935/cm-0/d-0
Casio Baby-G,BGA250-4A,HKD 880,HKD 704,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904926/cm-0/d-0
Casio Baby-G,BA110PP-8A,"HKD 1,190",HKD 595,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901994/cm-0/d-0
Casio Baby-G,BGA220G-7A,"HKD 1,380",HKD 690,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901999/cm-0/d-0
Seiko Lukia,SSA796J1,"HKD 4,080","HKD 3,590",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900689/cm-0/d-0
Seiko Lukia,SSA790J1,"HKD 4,850","HKD 4,268",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904254/cm-0/d-0
Seiko Lukia,SRWZ92P1,"HKD 2,790","HKD 2,455",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906540/cm-0/d-0
Citizen L Collection,EG7070-14A,"HKD 3,580","HKD 2,864",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906882/cm-0/d-0
Citizen L Collection,EG7072-19X,"HKD 3,880","HKD 3,104",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906883/cm-0/d-0
Citizen L Collection,EG7073-16Y,"HKD 3,880","HKD 3,104",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906884/cm-0/d-0
Citizen L Collection,EM0583-84A,"HKD 3,080","HKD 2,464",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905313/cm-0/d-0
Casio Baby-G,BA110PI-2A,"HKD 1,180",HKD 944,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906224/cm-0/d-0
Casio Baby-G,BA110PI-4A,"HKD 1,180",HKD 944,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906225/cm-0/d-0
Casio Baby-G,BA110RG-1A,"HKD 1,190",HKD 952,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904442/cm-0/d-0
Casio Baby-G,BA110RG-4A,"HKD 1,190",HKD 952,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900267/cm-0/d-0
Seiko Lukia,SRW791P1,"HKD 2,620","HKD 1,310",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904826/cm-0/d-0
Seiko Lukia,SRWZ88P1,"HKD 3,670","HKD 1,835",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900917/cm-0/d-0
Seiko Lukia,SRW812P1,"HKD 3,080","HKD 1,232",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906231/cm-0/d-0
Seiko Lukia,SRWZ14P1,"HKD 3,670","HKD 3,229",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906343/cm-0/d-0
Seiko Lukia,SRWZ17P1,"HKD 3,250","HKD 2,860",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906345/cm-0/d-0
Seiko Lukia,SRWZ12P1,"HKD 3,230","HKD 2,842",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906342/cm-0/d-0
Seiko Lukia,SRWZ09P1,"HKD 2,680","HKD 2,358",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906341/cm-0/d-0
Citizen xC,EW2422-55A,"HKD 3,630","HKD 2,904",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905390/cm-0/d-0
Citizen xC,EW2422-63W,"HKD 3,600","HKD 2,880",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900351/cm-0/d-0
Citizen xC,EW2423-52W,"HKD 3,600","HKD 2,880",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905332/cm-0/d-0
Casio Baby-G,BA110-4A1,"HKD 1,190",HKD 952,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905620/cm-0/d-0
Casio Baby-G,BA110-7A3,"HKD 1,190",HKD 952,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900265/cm-0/d-0
Casio Baby-G,BA110CA-4A,"HKD 1,190",HKD 773,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905623/cm-0/d-0
Casio Baby-G,BGA240L-7A,"HKD 1,040",HKD 520,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901666/cm-0/d-0
Casio Baby-G,BGS100-7A2,"HKD 1,130",HKD 565,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900934/cm-0/d-0
Casio Baby-G,BA110-4A2,"HKD 1,190",HKD 714,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905621/cm-0/d-0
Seiko Lukia,SRWZ10P1,"HKD 2,790","HKD 2,455",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906346/cm-0/d-0
Seiko Lukia,SRWZ18P1,"HKD 3,080","HKD 2,710",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906347/cm-0/d-0
Seiko Lukia,SRWZ75P1,"HKD 2,700","HKD 2,376",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900708/cm-0/d-0
Seiko Lukia,SRWZ64P1,"HKD 3,380","HKD 2,974",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905450/cm-0/d-0
Seiko Lukia,SRWZ84P1,"HKD 2,780","HKD 1,668",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906170/cm-0/d-0
Citizen xC,EW2422-55X,"HKD 3,600","HKD 2,880",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905333/cm-0/d-0
Citizen xC,FB1430-51W,"HKD 4,290","HKD 3,432",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905395/cm-0/d-0
Citizen xC,FB1432-04A,"HKD 4,290","HKD 3,432",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-902087/cm-0/d-0
Citizen xC,FB1432-55A,"HKD 4,350","HKD 3,480",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905404/cm-0/d-0
Citizen xC,FB1334-62A,"HKD 6,500","HKD 5,200",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905337/cm-0/d-0
Casio Baby-G,BGA270-1A,HKD 880,HKD 704,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906489/cm-0/d-0
Casio Baby-G,BGA270-2A,HKD 880,HKD 704,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906490/cm-0/d-0
Casio Baby-G,BGA270-4A,HKD 880,HKD 704,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906201/cm-0/d-0
Casio Baby-G,BGA270M-7A,HKD 940,HKD 752,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906202/cm-0/d-0
