ProductName,ProductID,OriginalPrice,SalePrice,ProductURL
Seiko 5 Sports,SRPF69K1,"HKD 3,480","HKD 2,784",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-907020/cm-0/d-0
Seiko 5 Sports,SRPE51K1,"HKD 1,980","HKD 1,584",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905229/cm-0/d-0
Seiko 5 Sports,SRPE55K1,"HKD 1,980","HKD 1,584",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905231/cm-0/d-0
Seiko Prospex,SNE535P1,"HKD 3,290","HKD 2,632",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900660/cm-0/d-0
Seiko Prospex,SNE543P1,"HKD 3,290","HKD 2,632",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901083/cm-0/d-0
Seiko Prospex,SRPD23K1,"HKD 3,860","HKD 3,088",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-902353/cm-0/d-0
Casio G-Shock,DW5600E-1V,HKD 760,HKD 608,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906203/cm-0/d-0
Casio G-Shock,DW5600SK-1,HKD 890,HKD 712,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900260/cm-0/d-0
Casio G-Shock,DW5610SU-8,HKD 880,HKD 704,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904931/cm-0/d-0
Casio G-Shock,DW5610SU-3,HKD 880,HKD 704,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904919/cm-0/d-0
Casio G-Shock H1000,GBDH1000-1A7,"HKD 3,680","HKD 2,870",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905167/cm-0/d-0
Casio G-Shock H1000,GBDH1000-4,"HKD 3,680","HKD 2,870",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905168/cm-0/d-0
Casio G-Shock,GBDH1000-7A9,"HKD 3,680",N\A,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906680/cm-0/d-0
Seiko Criteria,SNDH23P1,"HKD 2,980","HKD 1,192",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901760/cm-0/d-0
Seiko Sportura,SSC479P1,"HKD 4,580","HKD 1,632",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904368/cm-0/d-0
Seiko Sportura,SSC483P1,"HKD 4,420","HKD 1,768",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904369/cm-0/d-0
Citizen Mechanical,NJ0120-81E,"HKD 2,280","HKD 1,824",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-907095/cm-0/d-0
Citizen Mechanical,NJ0121-89L,"HKD 2,280","HKD 1,824",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-907097/cm-0/d-0
Citizen Mechanical,NJ0125-11E,"HKD 2,280","HKD 1,824",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-907098/cm-0/d-0
Citizen Mechanical,NY0111-11E,"HKD 2,880","HKD 2,304",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906892/cm-0/d-0
Citizen Mechanical,NY0118-11A,"HKD 2,880","HKD 2,304",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906395/cm-0/d-0
Citizen Promaster,NY0119-19X,"HKD 3,380","HKD 2,704",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906355/cm-0/d-0
Citizen Promaster,JR4065-09E,"HKD 4,000","HKD 3,200",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906891/cm-0/d-0
Casio G-Shock,DW5600LS-2,HKD 880,HKD 704,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905206/cm-0/d-0
Casio G-Shock,DW5600LS-7,HKD 880,HKD 704,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905207/cm-0/d-0
Casio G-Shock,DW5600SB-2,HKD 910,HKD 682,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904941/cm-0/d-0
Casio G-Shock,DW5600SB-4,HKD 910,HKD 682,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904452/cm-0/d-0
Casio G-Shock,DW5600THS-1,"HKD 1,160",HKD 870,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904455/cm-0/d-0
Casio G-Shock,DW5600THC-1,HKD 960,HKD 720,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904454/cm-0/d-0
Casio G-Shock,DW5900RS-1,HKD 830,HKD 664,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900311/cm-0/d-0
Seiko Prospex,SNE545P1,"HKD 3,480","HKD 2,784",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904767/cm-0/d-0
Seiko Prospex,SNE547P1,"HKD 3,580","HKD 2,864",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904768/cm-0/d-0
Seiko Prospex,SNJ029P1,"HKD 4,200","HKD 3,360",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905083/cm-0/d-0
Seiko Prospex,SNJ031P1,"HKD 4,200","HKD 3,360",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905084/cm-0/d-0
Seiko 5 Sports,SRPD77K1,"HKD 2,380","HKD 1,904",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901052/cm-0/d-0
Seiko 5 Sports,SRPD79K1,"HKD 2,380","HKD 1,904",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901053/cm-0/d-0
Seiko 5 Sports,SRPD81K1,"HKD 2,380","HKD 1,547",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901054/cm-0/d-0
Seiko 5 Sports,SRPD85K1,"HKD 2,380","HKD 1,904",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901056/cm-0/d-0
Casio G-Shock,GWA1000D-1A,"HKD 5,080","HKD 2,540",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905060/cm-0/d-0
Casio G-Shock,GWA1000FC-1A4,"HKD 4,980","HKD 2,490",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905061/cm-0/d-0
Casio G-Shock,GA500P-3A,"HKD 1,400",HKD 700,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900289/cm-0/d-0
Casio G-Shock,GA500WG-7A,"HKD 1,330",HKD 665,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901674/cm-0/d-0
Citizen Eco Drive,BL5496-11E,"HKD 3,580","HKD 2,864",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906868/cm-0/d-0
Citizen Eco Drive,BL5496-96L,"HKD 3,980","HKD 3,184",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906869/cm-0/d-0
Citizen Promaster,BN0158-18X,"HKD 2,880","HKD 2,304",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906870/cm-0/d-0
Citizen Promaster,BN0159-15X,"HKD 2,880","HKD 2,304",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906872/cm-0/d-0
Citizen Eco Drive,CA7040-85E,"HKD 2,180","HKD 1,744",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906876/cm-0/d-0
Citizen Eco Drive,CA7040-85L,"HKD 2,180","HKD 1,744",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906877/cm-0/d-0
Citizen Eco Drive,CA7047-86E,"HKD 2,580","HKD 2,064",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906878/cm-0/d-0
Casio G-Shock,GA110LS-1A,"HKD 1,280","HKD 1,024",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905208/cm-0/d-0
