ProductName,ProductID,OriginalPrice,SalePrice,ProductURL
Seiko Domestic,SBTM266J,"HKD 2,880","HKD 1,872",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905268/cm-0/d-0
Seiko Criteria,SSC677P1,"HKD 2,980","HKD 1,937",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904819/cm-0/d-0
Seiko Domestic,SBDL045J,"HKD 4,180","HKD 2,717",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904787/cm-0/d-0
Seiko Criteria,SNDH23P1,"HKD 2,980","HKD 1,192",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901760/cm-0/d-0
Seiko Prospex,SRPC93K1,"HKD 3,860","HKD 2,309",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905296/cm-0/d-0
Seiko Sportura,SSC479P1,"HKD 4,580","HKD 1,632",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904368/cm-0/d-0
Seiko Prospex,SSC707P1,"HKD 3,250","HKD 1,950",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-902231/cm-0/d-0
Seiko Solar,SBTM253J,"HKD 3,180","HKD 1,800",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901758/cm-0/d-0
Seiko Solar,SUP382P1,"HKD 2,340","HKD 1,500",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906746/cm-0/d-0
Seiko Quartz,SRZ528P1,"HKD 2,450","HKD 1,347",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906738/cm-0/d-0
Seiko Quartz,SRZ512P1,"HKD 2,340","HKD 1,287",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906737/cm-0/d-0
Seiko Quartz,SRZ510P1,"HKD 2,320","HKD 1,500",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906736/cm-0/d-0
Seiko Quartz,SRZ508P1,"HKD 2,320","HKD 1,500",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906735/cm-0/d-0
Seiko Quartz,SRZ504P1,"HKD 2,480","HKD 1,364",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906734/cm-0/d-0
Seiko Quartz,SRZ502P1,"HKD 2,410","HKD 1,325",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906733/cm-0/d-0
Seiko Quartz,SFQ803P1,"HKD 2,260","HKD 1,500",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906730/cm-0/d-0
Seiko Presage,SSA850J1,"HKD 4,010","HKD 2,000",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906728/cm-0/d-0
Seiko Presage,SSA306J1,"HKD 4,380","HKD 2,847",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906726/cm-0/d-0
Seiko Presage,SSA305J1,"HKD 4,080","HKD 2,652",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906725/cm-0/d-0
Seiko Premier,SNQ157P1,"HKD 3,180","HKD 2,067",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906714/cm-0/d-0
Seiko Domestic,SWFA169J,"HKD 1,800","HKD 1,200",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906700/cm-0/d-0
Seiko Domestic,SCXP142J,"HKD 1,780","HKD 1,000",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906696/cm-0/d-0
Seiko Domestic,SCXP138J,"HKD 1,780","HKD 1,000",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906695/cm-0/d-0
Seiko Domestic,SCXP125J,"HKD 1,780","HKD 1,000",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906694/cm-0/d-0
Seiko Domestic,SCXP089J,"HKD 1,650","HKD 1,072",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906693/cm-0/d-0
Seiko Domestic,SCXP078J,"HKD 1,650","HKD 1,072",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906691/cm-0/d-0
Seiko Domestic,SCXP076J,"HKD 1,650","HKD 1,072",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906690/cm-0/d-0
Seiko Domestic,SBTM275J,"HKD 4,180","HKD 2,717",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906689/cm-0/d-0
Seiko Domestic,SBTM273J,"HKD 4,180","HKD 2,717",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906688/cm-0/d-0
Seiko Domestic,SBTM271J,"HKD 4,180","HKD 2,717",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906687/cm-0/d-0
Seiko Domestic,SBTM269J,"HKD 4,180","HKD 2,717",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906686/cm-0/d-0
Seiko Domestic,SBPX116J,"HKD 2,420","HKD 1,200",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906684/cm-0/d-0
