ProductName,ProductID,OriginalPrice,SalePrice,ProductURL
Suunto 5,SS050304000,"HKD 2,990","HKD 2,392",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900780/cm-0/d-0
Casio G-Shock,GBDH1000-7A9,"HKD 3,680",N\A,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906680/cm-0/d-0
Fitbit Ionic,FB503CPBU,"HKD 2,598","HKD 1,558",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904639/cm-0/d-0
Garmin Instinct Solar,010-02293-59,"HKD 3,699","HKD 3,144",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906566/cm-0/d-0
Garmin Fenix 6 Pro Solar,010-02410-42,"HKD 9,299","HKD 7,904",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906219/cm-0/d-0
Suunto 9,SS050405000,"HKD 6,090","HKD 4,872",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904657/cm-0/d-0
Garmin Vivomove HR (L size),010-01850-54,"HKD 2,799","HKD 1,819",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904529/cm-0/d-0
Garmin Forerunner 645M,010-01863-G1,"HKD 3,899","HKD 2,534",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904651/cm-0/d-0
Garmin Forerunner 645M,010-01863-G0,"HKD 3,899","HKD 2,534",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904650/cm-0/d-0
Garmin Vivoactive 3M,010-01985-42,"HKD 3,099","HKD 2,014",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900960/cm-0/d-0
Garmin Fenix 5S Plus,010-01989-64,"HKD 6,999","HKD 4,549",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904647/cm-0/d-0
Garmin Fenix 5X Plus,010-01989-66,"HKD 8,799","HKD 5,719",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900963/cm-0/d-0
Garmin Fenix 5S Plus,010-01987-78,"HKD 6,499","HKD 4,224",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904646/cm-0/d-0
Garmin Fenix 5S Plus,010-01987-73,"HKD 6,499","HKD 4,224",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904645/cm-0/d-0
Garmin Fenix 5S Plus,010-01987-79,"HKD 6,999","HKD 4,549",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900949/cm-0/d-0
Garmin Fenix 5S Plus,010-01987-85,"HKD 7,199","HKD 4,679",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900950/cm-0/d-0
Fitbit Charge 3,FB410RGLV,"HKD 1,498","HKD 1,123",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900521/cm-0/d-0
Fitbit Charge 3,FB410GMWT,"HKD 1,498","HKD 1,123",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900522/cm-0/d-0
Fitbit Ionic,FB503WTNV,"HKD 2,598","HKD 1,688",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904640/cm-0/d-0
Fitbit Versa,FB505RGPK,"HKD 1,798","HKD 1,168",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900530/cm-0/d-0
Fitbit Versa,FB505RGWT,"HKD 1,798","HKD 1,168",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900527/cm-0/d-0
Fitbit Versa,FB505RGLV-EU,"HKD 1,998","HKD 1,498",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904642/cm-0/d-0
Fitbit Versa Lite,FB415BUBU,"HKD 1,498","HKD 1,198",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900536/cm-0/d-0
Fitbit Versa Lite,FB415PMPM,"HKD 1,498","HKD 1,198",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900538/cm-0/d-0
Suunto Spartan Trainer,SS023000000,"HKD 2,290","HKD 1,000",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904581/cm-0/d-0
Suunto 3 Fitness,SS050069000,"HKD 2,190","HKD 1,423",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900777/cm-0/d-0
Suunto 3 Fitness,SS050071000,"HKD 1,990","HKD 1,293",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900776/cm-0/d-0
Suunto 3 Fitness,SS050067000,"HKD 1,990","HKD 1,393",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900773/cm-0/d-0
Suunto 3 Fitness,SS050210000,"HKD 2,190","HKD 1,423",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900775/cm-0/d-0
Suunto 3 Fitness,SS050070000,"HKD 1,990","HKD 1,293",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900778/cm-0/d-0
Suunto 3 Fitness,SS050211000,"HKD 2,190","HKD 1,423",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900658/cm-0/d-0
Suunto 9 Baro,SS050087000,"HKD 6,090","HKD 4,872",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900786/cm-0/d-0
Suunto 9,SS050147000,"HKD 4,890","HKD 3,178",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900657/cm-0/d-0
Suunto 9 Baro,SS050088000,"HKD 6,090","HKD 3,958",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900785/cm-0/d-0
Garmin Vivoactive 4S,010-02172-16,"HKD 3,499","HKD 2,799",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904655/cm-0/d-0
Garmin Vivoactive 4S,010-02172-06,"HKD 3,499","HKD 2,799",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904654/cm-0/d-0
Garmin Fenix 5 Plus,010-01988-73,"HKD 6,999","HKD 4,549",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904643/cm-0/d-0
Garmin Fenix 6S,010-02159-71,"HKD 7,799","HKD 6,239",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904648/cm-0/d-0
Garmin Fenix 6S,010-02159-7B,"HKD 7,999","HKD 6,399",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904649/cm-0/d-0
Garmin Fenix 6s Solar,010-02409-20,"HKD 6,699","HKD 5,694",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906217/cm-0/d-0
Garmin FORERUNNER 745,010-02445-32,"HKD 4,599","HKD 3,909",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906565/cm-0/d-0
Suunto 9,SS050146000,"HKD 4,890","HKD 3,912",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900783/cm-0/d-0
Suunto 9,SS050148000,"HKD 4,890","HKD 3,912",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900784/cm-0/d-0
Suunto Suunto 5,SS050305000,"HKD 2,990","HKD 2,093",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900782/cm-0/d-0
Casio G-Shock H1000,GBDH1000-4,"HKD 3,680","HKD 2,870",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905168/cm-0/d-0
Casio G-Shock H1000,GBDH1000-1A7,"HKD 3,680","HKD 2,870",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905167/cm-0/d-0
Casio G-Shock H1000,GBDH1000-1,"HKD 3,680","HKD 2,870",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905166/cm-0/d-0
Garmin Instinct Solar,010-02293-73,"HKD 3,299","HKD 2,804",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906215/cm-0/d-0
Garmin Instinct Solar,010-02293-68,"HKD 3,299","HKD 2,804",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906214/cm-0/d-0
Garmin Instinct Solar,010-02293-37,"HKD 3,299","HKD 2,804",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906213/cm-0/d-0
Garmin Instinct Solar,010-02293-33,"HKD 3,299","HKD 2,804",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906212/cm-0/d-0
