ProductName,ProductID,OriginalPrice,SalePrice,ProductURL
Solvil et Titus,W06-03097-003,"HKD 1,380",HKD 500,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901790/cm-0/d-0
Solvil et Titus,W06-03097-004,"HKD 1,380",HKD 500,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901791/cm-0/d-0
Solvil et Titus,W06-03097-005,"HKD 1,380",HKD 500,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901792/cm-0/d-0
Solvil et Titus,W06-03110-001,"HKD 1,280",HKD 500,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901793/cm-0/d-0
Solvil et Titus,W06-03110-002,"HKD 1,480",HKD 500,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901794/cm-0/d-0
Solvil et Titus,W06-03107-001,"HKD 1,480",HKD 500,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901796/cm-0/d-0
Solvil et Titus,W06-03107-002,"HKD 1,480",HKD 500,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901797/cm-0/d-0
Solvil et Titus,W06-03107-003,"HKD 1,480",HKD 500,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901798/cm-0/d-0
Solvil et Titus,W06-03107-005,"HKD 1,680",HKD 500,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901800/cm-0/d-0
Solvil et Titus,W06-03086-001,"HKD 1,480",HKD 500,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901802/cm-0/d-0
Solvil et Titus,W06-03086-003,"HKD 1,480",HKD 500,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901804/cm-0/d-0
Solvil et Titus,W06-03086-004,"HKD 1,480",HKD 500,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901805/cm-0/d-0
Solvil et Titus,W06-03086-005,"HKD 1,480",HKD 500,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901806/cm-0/d-0
Solvil et Titus,W06-03086-006,"HKD 1,480",HKD 500,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901807/cm-0/d-0
Solvil et Titus,W06-03027-001,"HKD 1,480",HKD 500,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901934/cm-0/d-0
Solvil et Titus,W06-03027-002,"HKD 1,680",HKD 500,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901935/cm-0/d-0
Solvil et Titus,W06-03028-001,"HKD 1,480",HKD 500,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901936/cm-0/d-0
Solvil et Titus,W06-03028-002,"HKD 1,680",HKD 500,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901937/cm-0/d-0
Solvil et Titus,W06-02995-001,"HKD 1,280",HKD 500,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-902130/cm-0/d-0
Solvil et Titus,W06-02995-002,"HKD 1,280",HKD 500,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-902131/cm-0/d-0
Solvil et Titus,W06-02995-003,"HKD 1,380",HKD 500,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-902132/cm-0/d-0
Solvil et Titus,W06-03053-004,"HKD 1,680",HKD 500,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904230/cm-0/d-0
Solvil et Titus,W06-03070-001,"HKD 1,480",HKD 500,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904232/cm-0/d-0
Solvil et Titus,W06-03070-003,"HKD 1,780",HKD 500,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904233/cm-0/d-0
