Handle,Title,Description(HTML),Description(text),OriginalPrice,DiscountedPrice,ProductURL,Image Src,Image Position
ORIENT 東方萬年曆機械手錶 SEU07005BX/FEU07005BX,ORIENT 東方萬年曆機械手錶 SEU07005BX/FEU07005BX,"<div class=""global-secondary dark-secondary description-container"" ng-non-bindable="""">
<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"">

<p>不銹鋼錶殼<br/></p>
<div>不銹鋼手鍊<br/>
</div>
<div>自動機芯<br/>
</div>
<div>礦物水晶<br/>
</div>
<div>模擬顯示<br/>
</div>
<div>黑色錶盤<br/>
</div>
<div>日期和日期顯示<br/>
</div>
<div>擰回<br/>
</div>
<div>螺絲冠<br/>
</div>
<div>熒光箭頭和標籤<br/>
</div>
<div>100米防水<br/>
</div>
<div><br/></div>
<div>錶殼直徑44毫米<br/>
</div>
<div>錶殼的厚度12mm<br/>
</div>
<div>重量144g<br/>
</div>
<div><br/></div>
</div>",不銹鋼錶殼不銹鋼手鍊自動機芯礦物水晶模擬顯示黑色錶盤日期和日期顯示擰回螺絲冠熒光箭頭和標籤100米防水錶殼直徑44毫米錶殼的厚度12mm重量144g,"HK$2,550.00","HK$1,150.00",https://www.citiwide-online.com/products/5ec3962507ec313f9f603f0b,https://shoplineimg.com/5d02035403a5360001dbbef8/5ec3962207ec313f9f603f09/2000x.jpg,1
ORIENT 東方萬年曆機械手錶 SEU07005BX/FEU07005BX,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/5ec3962507ec313f9f603f0a/2000x.jpg,2
ORIENT東方之星 RETROGRADE系列 經典星期逆跳機械錶 RK-DE0301L,ORIENT東方之星 RETROGRADE系列 經典星期逆跳機械錶 RK-DE0301L,"<div class=""global-secondary dark-secondary description-container"" ng-non-bindable="""">
<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"">

<p>產品規格<br/></p>
<div>品牌：東方<br/>
</div>
<div>系列：星<br/>
</div>
<div>型號：RK-DE0301L <br/>
</div>
<div>機芯：機械自動<br/>
</div>
<div>機芯編號：40A52 <br/>
</div>
<div>驅動系統：機械式<br/>
</div>
<div>錶殼材質：不銹鋼<br/>
</div>
<div>玻璃材料（工作台）：球形藍寶石晶體（AR塗層）<br/>
</div>
<div>玻璃材料（背面）：無機玻璃<br/>
</div>
<div>錶帶材質：不銹鋼<br/>
</div>
<div>帶寬20毫米<br/>
</div>
<div>重量：93克<br/>
</div>
<div>日常生活防水防水（10 atm）<br/>
</div>
<div>產品功能<br/>
</div>
<div>自動上弦（手動上弦）<br/>
</div>
<div>逆行顯示功能<br/>
</div>
<div>電量顯示功能<br/>
</div>
<div>帶秒停裝置<br/>
</div>
<div>透明後蓋<br/>
</div>
<div>22寶石<br/>
</div>
</div>",產品規格品牌：東方系列：星型號：RK-DE0301L機芯：機械自動機芯編號：40A52驅動系統：機械式錶殼材質：不銹鋼玻璃材料（工作台）：球形藍寶石晶體（AR塗層）玻璃材料（背面）：無機玻璃錶帶材質：不銹鋼帶寬20毫米重量：93克日常生活防水防水（10 atm）產品功能自動上弦（手動上弦）逆行顯示功能電量顯示功能帶秒停裝置透明後蓋22寶石,"HK$7,840.00","HK$5,880.00",https://www.citiwide-online.com/products/5feac35e7fd83700011b9625,https://shoplineimg.com/5d02035403a5360001dbbef8/5feac3600bc9b50001303b11/2000x.jpg,1
ORIENT東方之星 RETROGRADE系列 經典星期逆跳機械錶 RK-DE0301L,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/5feac3610bc9b50001303b12/2000x.jpg,2
ORIENT東方之星 RETROGRADE系列 經典星期逆跳機械錶 RK-DE0301L,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/5feac3630bc9b50001303b14/2000x.jpg,3
東方之星 - Orient Star 潛水系列 200m 防水男士手錶 RK-AU0303B,東方之星 - Orient Star 潛水系列 200m 防水男士手錶 RK-AU0303B,"<div class=""global-secondary dark-secondary description-container"" ng-non-bindable="""">
<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"">

<p>產品規格<br/></p>
<div>品牌：東方<br/>
</div>
<div>系列：東方之星<br/>
</div>
<div>性別：男士<br/>
</div>
<div>機芯：自動<br/>
</div>
<div>口徑：F6N47 <br/>
</div>
<div>錶殼材料：不銹鋼<br/>
</div>
<div>錶殼形狀：圓形<br/>
</div>
<div>錶殼尺寸：43.6 <br/>
</div>
<div>錶殼厚度：14 <br/>
</div>
<div>撥號類型：模擬<br/>
</div>
<div>錶盤顏色：黑色<br/>
</div>
<div>錶帶顏色：黑色<br/>
</div>
<div>耐水性：200 <br/>
</div>
<div>玻璃：藍寶石，防反射塗層<br/>
</div>
<div>功能<br/>
</div>
<div>防磁，日期，動力儲備指示器，發光指針，發光標記<br/>
</div>
</div>",產品規格品牌：東方系列：東方之星性別：男士機芯：自動口徑：F6N47錶殼材料：不銹鋼錶殼形狀：圓形錶殼尺寸：43.6錶殼厚度：14撥號類型：模擬錶盤顏色：黑色錶帶顏色：黑色耐水性：200玻璃：藍寶石，防反射塗層功能防磁，日期，動力儲備指示器，發光指針，發光標記,"HK$6,095.00","HK$3,950.00",https://www.citiwide-online.com/products/605c06c94c8ec40001b14114,https://shoplineimg.com/5d02035403a5360001dbbef8/605c06cbebe0320001cc4003/2000x.jpg,1
東方之星 - Orient Star 潛水系列 200m 防水男士手錶 RK-AU0303B,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/605c06ccebe0320001cc4004/2000x.jpg,2
東方之星 - Orient Star 潛水系列 200m 防水男士手錶 RK-AU0303B,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/605c06cdebe0320001cc4005/2000x.jpg,3
Orient 東方200米潛水系列自動機械手錶 RA-AC0K05G00C,Orient 東方200米潛水系列自動機械手錶 RA-AC0K05G00C,"<div class=""global-secondary dark-secondary description-container"" ng-non-bindable="""">
<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"">

<p>產品規格<br/></p>
<div>機芯：F6722機芯自動上鍊黑客運動</div>
<div>動力儲備：約40小時<br/>
</div>
<div>特點：日期，發光標記<br/>
</div>
<div>晶體：藍寶石<br/>
</div>
<div>錶盤顏色：金色<br/>
</div>
<div>外殼材料：不銹鋼<br/>
</div>
<div>錶殼直徑：43.4毫米（不計表冠）<br/>
</div>
<div>托耳長度：51毫米<br/>
</div>
<div>錶殼厚度：12.8毫米<br/>
</div>
<div>耐水性：200 M <br/>
</div>
<div>冠：擰緊<br/>
</div>
<div>黃銅材料：不銹鋼<br/>
</div>
<div>BEZEL功能：120單擊單向<br/>
</div>
<div>帶材料：皮革（棕色）<br/>
</div>
<div>CLASP：帶扣<br/>
</div>
<div>塊寬：22毫米<br/>
</div>
</div>",產品規格機芯：F6722機芯自動上鍊黑客運動動力儲備：約40小時特點：日期，發光標記晶體：藍寶石錶盤顏色：金色外殼材料：不銹鋼錶殼直徑：43.4毫米（不計表冠）托耳長度：51毫米錶殼厚度：12.8毫米耐水性：200 M冠：擰緊黃銅材料：不銹鋼BEZEL功能：120單擊單向帶材料：皮革（棕色）CLASP：帶扣塊寬：22毫米,"HK$3,750.00","HK$2,430.00",https://www.citiwide-online.com/products/601b7631c924490001208507,https://shoplineimg.com/5d02035403a5360001dbbef8/601b763278fad90001acb0a2/2000x.jpg,1
Orient 東方200米潛水系列自動機械手錶 RA-AC0K05G00C,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/601b763478fad90001acb0a5/2000x.jpg,2
Orient 東方200米潛水系列自動機械手錶 RA-AC0K05G00C,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/601b763578fad90001acb0ae/2000x.jpg,3
Orient Kanno 潛水自動機械手錶 RA-AA0915R19B,Orient Kanno 潛水自動機械手錶 RA-AA0915R19B,"<div class=""global-secondary dark-secondary description-container"" ng-non-bindable="""">
<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"">

<p>規格<br/></p>
<div><br/></div>
<div><br/></div>
<div><br/></div>
<div>錶殼直徑：44 毫米<br/>
</div>
<div><br/></div>
<div><br/></div>
<div><br/></div>
<div>錶殼厚度：12.9 毫米<br/>
</div>
<div><br/></div>
<div><br/></div>
<div><br/></div>
<div>錶帶寬度：22毫米<br/>
</div>
<div><br/></div>
<div><br/></div>
<div><br/></div>
<div>水晶：礦物玻璃<br/>
</div>
<div><br/></div>
<div><br/></div>
<div><br/></div>
<div>錶盤：高精度不銹鋼<br/>
</div>
<div><br/></div>
<div><br/></div>
<div><br/></div>
<div>機芯：日本機械機芯Cal. F6922<br/>
</div>
<div><br/></div>
<div><br/></div>
<div><br/></div>
<div>錶帶：鋼<br/>
</div>
<div><br/></div>
<div><br/></div>
<div><br/></div>
<div>防水性：20ATM<br/>
</div>
<div><br/></div>
<div><br/></div>
<div><br/></div>
<div>保修期：1年<br/>
</div>
<div><br/></div>
<div><br/></div>
<div><br/></div>
<div>包裝：原廠錶盒</div>
</div>",規格錶殼直徑：44 毫米錶殼厚度：12.9 毫米錶帶寬度：22毫米水晶：礦物玻璃錶盤：高精度不銹鋼機芯：日本機械機芯Cal. F6922錶帶：鋼防水性：20ATM保修期：1年包裝：原廠錶盒,"HK$3,998.00","HK$2,290.00",https://www.citiwide-online.com/products/5fa8d6c34ab0420001745ba8,https://shoplineimg.com/5d02035403a5360001dbbef8/5fa8d6c592f131000156e829/2000x.jpg,1
Orient Kanno 潛水自動機械手錶 RA-AA0915R19B,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/5fa8d6c892f131000156e82e/2000x.jpg,2
Orient Kanno 潛水自動機械手錶 RA-AA0915R19B,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/5fa8d6ca92f131000156e830/2000x.jpg,3
ORIENT東方之星 HERITAGE GOTHIC系列 RK-AW0003S,ORIENT東方之星 HERITAGE GOTHIC系列 RK-AW0003S,"<div class=""global-secondary dark-secondary description-container"" ng-non-bindable="""">
<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"">

<p>產品規格<br/></p>
<div>錶帶材質：皮革，玫瑰金，銀色<br/>
</div>
<div>錶盤顏色：銀色，金色，白色<br/>
</div>
<div>珠寶數量：24珠寶<br/>
</div>
<div>手錶形狀：圓形<br/>
</div>
<div>顯示：模擬<br/>
</div>
<div>錶殼材質: 不銹鋼，玫瑰金，水晶，藍寶石<br/>
</div>
<div>機芯：機械（自動）<br/>
</div>
<div>功能：藍寶石水晶，日期指示器，動力儲存指示器，12小時刻度盤<br/>
</div>
<div>錶帶顏色: 黑色，棕色<br/>
</div>
<div>錶殼尺寸: 46毫米<br/>
</div>
<div>類型：手錶<br/>
</div>
<div>帶寬：20毫米<br/>
</div>
<div>錶殼顏色：金色，粉紅色，白色<br/>
</div>
</div>",產品規格錶帶材質：皮革，玫瑰金，銀色錶盤顏色：銀色，金色，白色珠寶數量：24珠寶手錶形狀：圓形顯示：模擬錶殼材質: 不銹鋼，玫瑰金，水晶，藍寶石機芯：機械（自動）功能：藍寶石水晶，日期指示器，動力儲存指示器，12小時刻度盤錶帶顏色: 黑色，棕色錶殼尺寸: 46毫米類型：手錶帶寬：20毫米錶殼顏色：金色，粉紅色，白色,"HK$6,930.00","HK$5,200.00",https://www.citiwide-online.com/products/5feac35e7fd83700011b9624,https://shoplineimg.com/5d02035403a5360001dbbef8/5feac360ebde79000138542f/2000x.jpg,1
ORIENT東方之星 HERITAGE GOTHIC系列 RK-AW0003S,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/5feac362ebde790001385434/2000x.jpg,2
ORIENT東方之星 HERITAGE GOTHIC系列 RK-AW0003S,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/5feac364ebde790001385437/2000x.jpg,3
ORIENT東方之星 HERITAGE GOTHIC系列 RK-AW0003S,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/5feac366ebde790001385441/2000x.jpg,4
東方之星 - Orient Star Open Heart系列小鏤空機械錶 RE-AT0002E,東方之星 - Orient Star Open Heart系列小鏤空機械錶 RE-AT0002E,"<div class=""global-secondary dark-secondary description-container"" ng-non-bindable="""">
<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"">

<p>產品規格<br/></p>
<div>品牌：東方<br/>
</div>
<div>型號：星<br/>
</div>
<div>參考編號：RE-AT0002E00B <br/>
</div>
<div>機芯：自動<br/>
</div>
<div>錶殼材料：鋼<br/>
</div>
<div>手鍊材料：鋼<br/>
</div>
<div>性別：男士手錶/男女通用<br/>
</div>
<div>機芯：自動<br/>
</div>
<div>基本口徑：F6R42 <br/>
</div>
<div>動力儲備：50小時<br/>
</div>
<div>寶石數：22 <br/>
</div>
<div>頻率：21600 Hz <br/>
</div>
<div>錶殼材料：鋼<br/>
</div>
<div>錶殼直徑：39.3毫米<br/>
</div>
<div>厚度：12.2毫米<br/>
</div>
<div>耐水性：10 ATM <br/>
</div>
<div>擋板材質：鋼<br/>
</div>
<div>水晶：藍寶石水晶<br/>
</div>
<div>錶盤：綠色<br/>
</div>
<div>錶盤數字：羅馬數字<br/>
</div>
<div>手鍊材料：鋼<br/>
</div>
<div>手鍊顏色：鋼<br/>
</div>
<div>表扣：折疊表扣<br/>
</div>
<div>表扣材質：鋼<br/>
</div>
<div>骨架式動力儲備顯示<br/>
</div>
</div>",產品規格品牌：東方型號：星參考編號：RE-AT0002E00B機芯：自動錶殼材料：鋼手鍊材料：鋼性別：男士手錶/男女通用機芯：自動基本口徑：F6R42動力儲備：50小時寶石數：22頻率：21600 Hz錶殼材料：鋼錶殼直徑：39.3毫米厚度：12.2毫米耐水性：10 ATM擋板材質：鋼水晶：藍寶石水晶錶盤：綠色錶盤數字：羅馬數字手鍊材料：鋼手鍊顏色：鋼表扣：折疊表扣表扣材質：鋼骨架式動力儲備顯示,"HK$5,998.00","HK$3,750.00",https://www.citiwide-online.com/products/605c06c94c8ec40001b14116,https://shoplineimg.com/5d02035403a5360001dbbef8/605c06cb6619860001d45ad8/2000x.jpg,1
東方之星 - Orient Star Open Heart系列小鏤空機械錶 RE-AT0002E,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/605c06cd6619860001d45adb/2000x.jpg,2
東方之星 - Orient Star Open Heart系列小鏤空機械錶 RE-AT0002E,,,,,,,https://shoplineimg.com/5d02035403a5360001dbbef8/605c06cf6619860001d45ade/2000x.jpg,3
