Handle,Title,Brand,Description(HTML),NewPrice,OriginalPrice,ProductAvailibility,ProductID,ProductSKU,ProductURL,Image Src,Image Position
Xiaomi Mi Band 5 Dinamik Amoled Ekran Akıllı Bileklik (Yurt Dışından),Xiaomi Mi Band 5 Dinamik Amoled Ekran Akıllı Bileklik (Yurt Dışından),Xiaomi,"<div class=""list-item-detail product-detail box-container"" id=""tabProductDesc"">
<table>
<tr>
<td class=""no-border"">
<div id=""productDescriptionContent"">
                                    Xiaomi Mi Band 5 Dinamik Amoled Ekran Akıllı Bileklik (Yurt Dışından)
<pre>Not Satın Almadan önce:
1. Bilezik Arama Dili: Destek çince, İngilizce
* Arama dili yalnızca telefonun dili İngilizce olduğunda İngilizce iyi destekler.
* Telefon diğer dillerde kullanılıyorsa (İngilizce değil), bilezik SADECE çince iyi destekler.
2. Google oyun mağazasında veya App store ida  Mi fit  uygulamasını arayın ve indirin .
* APP muti dilini destekler ve APP dili telefon diliyle senkronize edilir.
3. NFC Unionpay Quickpass (sadece çin ide kullanılabilir)

Mi Akıllı Bant 5
En Uygun Fiyatlı Profesyonel Spor Bilekliği
Mi Band 5 iin ekranı 0.95 inçten 1.2 inç ie kadar% 20 artırıldı.
Xiaomi Mi Band 5, çarpıcı görsel deneyim, ilgi çekici arayüz ve akıllı mesaj bildirimi sunan 126 x 294 piksel çözünürlüğe sahip% 100 P3 renk gamına sahip 1.2 AMOLED 2.5D renkli dokunmatik ekrana sahiptir.

Daha iyi ekran görüntüsü
 Daha fazla içeriğe sahip 1,1 inç AMOLED gerçek renkli ekran
 Animasyon Saat Yüzü
Doğru aktivite ve sağlık takibi
 3 eksenli ivmeölçer + 3 eksenli jiroskop sensörleri
 Kalp atış hızı, vücut basıncı ve uyku monitöründe tüm gün izleme
 yürüme ve koşu otomatik algılama
 Kadın Sağlığı Monitörü
Daha uzun kullanın ve daha kolay şarj edin
 14 güne kadar pil ömrü
 Manyetik şarj pimleri ile kolayca şarj edilir
 Müzik kontrolü
çoklu spor modları
 11 egzersiz moduna kadar
 Kürek makinesi, eliptik, yoga, ip atlama ve kapalı bisiklet yeni eklendi.
Uzaktan kumandalı telefon kamerası
 Telefonunuza dokunmadan fotoğraf çekin.
Uygun Akıllı Telefon Sistemi
 Android 4.4 ve üstü, iOS 10.0 veya üstü.
5ATM Suya dayanıklılık
 Kötü hava koşullarında bile günlük kullanımda veya spor çalışma zamanında serbestçe giyin
BT 5.0 Bağlan
 Daha hızlı, daha akıllı ve kararlı sinyal bağlantısı
 Düşük güç tüketimi, uzun süreli kullanım ömrü

özellikler:
Ağırlık: 23.3g (kayış dahil)
Suya dayanıklı seviye: 5 ATM
Ekran tipi: AMOLED
Ekran boyutu: 1.1 inç
çözüm: 126 x 294
Renk derinliği: 16 bit
Ekran parlaklığı: 450 nit ie kadar
Dokunmatik ekran tipi: AMOLED + TP kapasitif dokunmatik ekran
Ekran koruması: 2.5D temperli cam
Düğme: Tek dokunuşla düğme (uyan, geri git)
Bilek kayışı malzemesi: TPE
Kablosuz bağlantı: BT5.0 BLE
Sensörler: 3 eksenli ivmeölçer + 3 eksenli jiroskop sensörleri ， PPG kalp atış hızı sensörü
Pil LiPo: 125 mAh
Bekleme süresi: 14 gün
Şarj süresi: hours2 saat
Sistem gereksinimleri: Android 4.4 ， iOS 10 veya üstü
Ayarlanabilir bileklik uzunluğu: 155-216mm
ürün ağırlığı: Yaklaşık. 22,1 g / 0,8 ons
Paket büyüklüğü: Yaklaşık. 180 * 90 * 34mm / 7.1 * 3.5 * 1.3 inç
Paket ağırlığı: Yaklaşık. 65g / 2.3 ons

Paket Listesi:
1 * Mi Akıllı Bant 5
1 * Bilek kayışı
1 * Şarj kablosu
1 * Kullanım kılavuzu (çince)</pre>
</div>
</td>
</tr>
</table>
<div id=""ctl00_ContentPlaceHolder1_ProductControl1_MainControl1_TabControl1_ProductDescription1_CustomContentBottom""></div>
<table>
<tr>
<td class=""no-border"">
<table>
<tbody>
<tr>
<td>
<div class=""tealium"">
<div class=""cnet-integration"" id=""ccs-inline-content"">
</div>
</div>
</td>
</tr>
</tbody>
</table>
<table>
<tbody>
<tr>
<td>
<div id=""productTechSpecContainer"">
<table class=""data-list tech-spec hidden"">
<caption></caption>
<tbody>
<tr>
<th>Marka</th>
<td><a href=""/xiaomi"" title=""Xiaomi"">Xiaomi</a></td>
</tr>
</tbody>
</table>
<table class=""data-list tech-spec"">
<caption></caption>
<tbody>
<tr>
<th>Adımsayar</th>
<td>Var</td>
</tr>
<tr>
<th>Cinsiyet</th>
<td>Erkek</td>
</tr>
<tr>
<th>GPS (Küresel Konumlama Sistemi)</th>
<td>Yok</td>
</tr>
<tr>
<th>Kalp Ritmi Ölçme</th>
<td>Var</td>
</tr>
<tr>
<th>Kamera</th>
<td>Yok</td>
</tr>
<tr>
<th>Sesli Görüşme</th>
<td>Yok</td>
</tr>
<tr>
<th>Su Geçirmezlik</th>
<td>Var</td>
</tr>
<tr>
<th>Titreşim</th>
<td>Var</td>
</tr>
<tr>
<th>Uyku Takibi</th>
<td>Var</td>
</tr>
<tr>
<th>Uyumlu Marka</th>
<td>Android</td>
</tr>
</tbody>
</table>
<table class=""data-list tech-spec"">
<caption>Diğer</caption>
<tbody>
<tr>
<th>Yurt Dışı Satış</th>
<td>Yok</td>
</tr>
<tr>
<th>Stok Kodu</th>
<td>HBV000011UC9W</td>
</tr>
</tbody>
</table>
</div>
</td>
</tr>
</tbody>
</table>
</td>
</tr>
</table>
<div>
<span id=""captchaScriptCont""></span>
<div class=""feedbackText"">
<a data-bind=""click: feedback.showInaccurateContentPopup.bind($data.feedback)"" href=""javascript:;"" id=""inaccurate-content-link"">
            Hatalı İçerik Bildir
        </a>
</div>
<script id=""feedbackPopupTemplate"" type=""text/html"">
        <div class=""feedback popup"" data-bind=""visible: !isDone(), css: {preLoader: isSending()}"">
            <i data-bind=""click: closePopup"" class=""close""></i>
            <span class=""title"">
                Hatalı İ&#231;erik Bildir
            </span>
            <div class=""info"">
                <div class=""product-name"">
                    &#220;r&#252;n i&#231;eriğinin hatalı olduğunu d&#252;ş&#252;n&#252;yorsanız bize bildirerek g&#252;ncelleme talep edebilirsiniz.
                </div>
                <div class=""formArea"">
                    <span class=""question"">Hata ne ile ilgili?</span>
                    <div class=""animateInput select-area"">
                        <div class=""inputArea"">
                            <select class=""select free"" data-bind=""options: feedbackItems,
                                optionsText: 'text', value: selectedItem,
                                optionsCaption: 'Lütfen Seçiniz',
                                css: {'act': selectedItem, 'error': feedbackItemsErrorText().length > 0},
                                event: {change: onChangeSelect}"">
                            </select>
                        </div>
                        <!--ko if: feedbackItemsErrorText().length > 0 -->
                        <span class=""field-error"" data-bind=""html: feedbackItemsErrorText, css: {error: feedbackItemsErrorText().length > 0}""></span>
                        <!--/ko-->
                    </div>
                    <!-- ko if: selectedItem -->
                    <div class=""animateInput select-area"">
                        <div class=""inputArea"">
                            <select class=""select free"" data-bind=""options: subFeedbackItems,
                               optionsText: 'text',
                               value: selectedSubItem,
                               optionsCaption: 'Hata tipini seçiniz',
                               css: {'act': selectedSubItem, 'error': subFeedbackItemsErrorText().length > 0}""></select>
                        </div>
                        <!--ko if: subFeedbackItemsErrorText().length > 0 -->
                        <span class=""field-error"" data-bind=""text: subFeedbackItemsErrorText, css: {error: subFeedbackItemsErrorText().length > 0}""></span>
                        <!--/ko-->
                    </div>

                    <div class=""animateInput select-area"">
                        <textarea class=""textarea free"" data-bind=""value: message, css: {'act': message}, valueUpdate: 'keyup'"" maxlength=""1000"" placeholder=""Açıklama (Opsiyonel)""></textarea>
                        <span class=""count"" data-bind=""text: messageCount""></span>
                    </div>
                    <!--/ko-->
                    <!-- ko if: isCaptchaActive -->
                    <!--ko if: captchaErrorText().length > 0 -->
                    <span class=""field-error captcha"" data-bind=""text: captchaErrorText, css: {error: captchaErrorText().length > 0}""></span>
                    <!--/ko-->
                    <div id=""feedbackCaptcha""></div>
                    <!--/ko-->
                    <div class=""button-container"">
                        <button class=""button free"" data-bind=""click: send.bind($data)"">
                            G&#246;nder
                        </button>
                    </div>
                </div>
            </div>
        </div>
    </script>
</div>
</div>","347,50 TL",N\A,TRUE,HB000011UC9V,HBV000011UC9W,https://www.hepsiburada.com/xiaomi-mi-band-5-dinamik-amoled-ekran-akilli-bileklik-yurt-disindan-p-HBV000011UC9W?magaza=First%20Sourcer,https://productimages.hepsiburada.net/s/48/1000/10939279212594.jpg,1
,,,,,,,,,,https://productimages.hepsiburada.net/s/48/1000/10939279245362.jpg,2
,,,,,,,,,,https://productimages.hepsiburada.net/s/48/1000/10939279278130.jpg,3
,,,,,,,,,,https://productimages.hepsiburada.net/s/48/1000/10939279310898.jpg,4
,,,,,,,,,,https://productimages.hepsiburada.net/s/48/1000/10939279343666.jpg,5
Mark Ryden Laptop - Notebook Sırt Çantası 9116 Siyah (Usb Sarj Portlu),Mark Ryden Laptop - Notebook Sırt Çantası 9116 Siyah (Usb Sarj Portlu),Mark Ryden,"<div class=""list-item-detail product-detail box-container"" id=""tabProductDesc"">
<table>
<tr>
<td class=""no-border"">
<div id=""productDescriptionContent"">
                                    Mark Ryden Laptop - Notebook Sırt Çantası 9116 Siyah (Usb Sarj Portlu)
<pre>Sirt Cantasi  47*30*15cm</pre>
</div>
</td>
</tr>
</table>
<div id=""ctl00_ContentPlaceHolder1_ProductControl1_MainControl1_TabControl1_ProductDescription1_CustomContentBottom""></div>
<table>
<tr>
<td class=""no-border"">
<table>
<tbody>
<tr>
<td>
<div class=""tealium"">
<div class=""cnet-integration"" id=""ccs-inline-content"">
</div>
</div>
</td>
</tr>
</tbody>
</table>
<table>
<tbody>
<tr>
<td>
<div id=""productTechSpecContainer"">
<table class=""data-list tech-spec hidden"">
<caption></caption>
<tbody>
<tr>
<th>Marka</th>
<td><a href=""/markryden"" title=""Mark Ryden"">Mark Ryden</a></td>
</tr>
</tbody>
</table>
<table class=""data-list tech-spec"">
<caption></caption>
<tbody>
<tr>
<th>Çanta Tipi</th>
<td>Sırt Çantası</td>
</tr>
<tr>
<th>Ekran Boyutu (inç)</th>
<td>15.6</td>
</tr>
<tr>
<th>Laptop Boyut Aralığı</th>
<td>15 - 15,9 inç</td>
</tr>
<tr>
<th>Renk</th>
<td>Siyah</td>
</tr>
</tbody>
</table>
<table class=""data-list tech-spec"">
<caption>Diğer</caption>
<tbody>
<tr>
<th>Yurt Dışı Satış</th>
<td>Yok</td>
</tr>
<tr>
<th>Stok Kodu</th>
<td>HBV00001493UJ</td>
</tr>
</tbody>
</table>
</div>
</td>
</tr>
</tbody>
</table>
</td>
</tr>
</table>
<div>
<span id=""captchaScriptCont""></span>
<div class=""feedbackText"">
<a data-bind=""click: feedback.showInaccurateContentPopup.bind($data.feedback)"" href=""javascript:;"" id=""inaccurate-content-link"">
            Hatalı İçerik Bildir
        </a>
</div>
<script id=""feedbackPopupTemplate"" type=""text/html"">
        <div class=""feedback popup"" data-bind=""visible: !isDone(), css: {preLoader: isSending()}"">
            <i data-bind=""click: closePopup"" class=""close""></i>
            <span class=""title"">
                Hatalı İ&#231;erik Bildir
            </span>
            <div class=""info"">
                <div class=""product-name"">
                    &#220;r&#252;n i&#231;eriğinin hatalı olduğunu d&#252;ş&#252;n&#252;yorsanız bize bildirerek g&#252;ncelleme talep edebilirsiniz.
                </div>
                <div class=""formArea"">
                    <span class=""question"">Hata ne ile ilgili?</span>
                    <div class=""animateInput select-area"">
                        <div class=""inputArea"">
                            <select class=""select free"" data-bind=""options: feedbackItems,
                                optionsText: 'text', value: selectedItem,
                                optionsCaption: 'Lütfen Seçiniz',
                                css: {'act': selectedItem, 'error': feedbackItemsErrorText().length > 0},
                                event: {change: onChangeSelect}"">
                            </select>
                        </div>
                        <!--ko if: feedbackItemsErrorText().length > 0 -->
                        <span class=""field-error"" data-bind=""html: feedbackItemsErrorText, css: {error: feedbackItemsErrorText().length > 0}""></span>
                        <!--/ko-->
                    </div>
                    <!-- ko if: selectedItem -->
                    <div class=""animateInput select-area"">
                        <div class=""inputArea"">
                            <select class=""select free"" data-bind=""options: subFeedbackItems,
                               optionsText: 'text',
                               value: selectedSubItem,
                               optionsCaption: 'Hata tipini seçiniz',
                               css: {'act': selectedSubItem, 'error': subFeedbackItemsErrorText().length > 0}""></select>
                        </div>
                        <!--ko if: subFeedbackItemsErrorText().length > 0 -->
                        <span class=""field-error"" data-bind=""text: subFeedbackItemsErrorText, css: {error: subFeedbackItemsErrorText().length > 0}""></span>
                        <!--/ko-->
                    </div>

                    <div class=""animateInput select-area"">
                        <textarea class=""textarea free"" data-bind=""value: message, css: {'act': message}, valueUpdate: 'keyup'"" maxlength=""1000"" placeholder=""Açıklama (Opsiyonel)""></textarea>
                        <span class=""count"" data-bind=""text: messageCount""></span>
                    </div>
                    <!--/ko-->
                    <!-- ko if: isCaptchaActive -->
                    <!--ko if: captchaErrorText().length > 0 -->
                    <span class=""field-error captcha"" data-bind=""text: captchaErrorText, css: {error: captchaErrorText().length > 0}""></span>
                    <!--/ko-->
                    <div id=""feedbackCaptcha""></div>
                    <!--/ko-->
                    <div class=""button-container"">
                        <button class=""button free"" data-bind=""click: send.bind($data)"">
                            G&#246;nder
                        </button>
                    </div>
                </div>
            </div>
        </div>
    </script>
</div>
</div>","377,40 TL",N\A,TRUE,HB00001493UI,HBV00001493UJ,https://www.hepsiburada.com/mark-ryden-laptop-notebook-sirt-cantasi-9116-siyah-usb-sarj-portlu-p-HBV00001493UJ?magaza=First%20Sourcer,https://productimages.hepsiburada.net/s/50/1000/11032549359666.jpg,1
,,,,,,,,,,https://productimages.hepsiburada.net/s/50/1000/11032549392434.jpg,2
,,,,,,,,,,https://productimages.hepsiburada.net/s/50/1000/11032549425202.jpg,3
,,,,,,,,,,https://productimages.hepsiburada.net/s/50/1000/11032549457970.jpg,4
,,,,,,,,,,https://productimages.hepsiburada.net/s/50/1000/11032549490738.jpg,5
