ProductName,ProductID,OriginalPrice,SalePrice,ProductURL,Case,Dial,Strap,Movement,WaterResistant,img_url_1,img_url_2,img_url_3,img_url_4,img_url_5
Casio G-Shock,GWG1000-1A3,"HKD 6,040","HKD 3,926",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905690/cm-0/d-0,Diameter 59.5 mm Thickness 18 mm Shape Round Glass Mineral Glass,Color Black,Color Military Green Width Material PU,Solar,20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202006/5338731109592695123.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio G-Shock,GAS100PC-1A,"HKD 1,330",HKD 864,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905662/cm-0/d-0,Diameter 55.1 mm Thickness 16.7 mm Shape Round Glass Mineral Glass,Color Black,Color Black Width Material PU,Solar,20 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202006/5340685317031666035.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio G-Shock,GAS100B-1A2,"HKD 1,330",HKD 864,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905661/cm-0/d-0,Diameter 55.1 mm Thickness 16.7 mm Shape Round Glass Mineral Glass,Color Black,Color Black Width Material PU,Solar,20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202006/4726812840663262237.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio Baby-G,BSAB100MF-7A,"HKD 1,120",HKD 728,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905646/cm-0/d-0,Diameter 49.6 mm  Thickness 12.6 mm Shape Round Glass Mineral Glass,Color Rose Gold,Color White Width Material PU,Quartz,10 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202006/5450320326190648393.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio Baby-G,BA110DC-2A2,"HKD 1,390",HKD 903,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905625/cm-0/d-0,Diameter 46.3 mm  Thickness 15.8 mm Shape Round Glass Mineral Glass,Color Multi Color,Color Blue Width Material PU,Quartz,10 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202006/5638370051146923737.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio Baby-G,BA110CA-4A,"HKD 1,190",HKD 773,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905623/cm-0/d-0,Diameter 46.3 mm Thickness 15.8 mm Shape Round Glass Mineral Glass,Color Multi Color,Color Pink Width Material PU,Quartz,10 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202006/5602632712225213198.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio G-Shock,DW5600CC-2,HKD 960,HKD 624,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904217/cm-0/d-0,Diameter 48.9 x 42.8 mm Thickness 13.4 mm Shape Rectangular Glass Mineral Glass,Color Black,Color Blue Width Material PU,Quartz,20 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202001/4882076537684256199.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio G-Shock,GA1100GB-1A,"HKD 2,190","HKD 1,423",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-902274/cm-0/d-0,Diameter 50.8 mm Thickness 16.6 mm Shape Round Glass Mineral Glass,Color Black,Color Black Width Material PU,Quartz,,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201912/5352703317160852710.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio G-Shock H1000,GBDH1000-4,"HKD 3,680","HKD 2,870",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905168/cm-0/d-0,Diameter       63 mm       Thickness       20.4 mm       Shape       Round       Glass       Mineral Glass,Color       Black,Color       Red       Width               Material       PU,Solar,20 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202005/5576079852039207606.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Casio G-Shock,GA700DE-2A,"HKD 1,260",HKD 756,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901675/cm-0/d-0,Diameter 57.5 mm Thickness 18.4 mm Shape Round Glass Mineral Glass,Color,Color Blue Width Material PU,Quartz,20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201910/4889979796469520248.jpg_700x650.ashx,N\A,N\A,N\A,N\A
