ProductName,ProductID,OriginalPrice,SalePrice,ProductURL,Case,Dial,Strap,Movement,WaterResistant,img_url_1,img_url_2,img_url_3,img_url_4,img_url_5
Seiko Prospex,SRPC93K1,"HKD 3,860","HKD 2,309",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905296/cm-0/d-0,Diameter       43.8 mm       Thickness       12.8 mm       Shape       Round       Glass       Mineral Glass,Color       Blue,Color       Silver       Width       22 mm       Material       Stainless Steel,Mechanical(4R35),20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202006/4726585452649400354.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Prospex,SRPE07K1,"HKD 4,680","HKD 3,744",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905162/cm-0/d-0,Diameter 45 mm Thickness 13.2 mm Shape Round Glass Sapphire Glass,Color Blue,Color Black Width Material Silicone,Automatic (4R36),20 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202005/5080238522198587728.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Luminox Pacific Diver,XS.3123,"HKD 5,500","HKD 4,400",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905618/cm-0/d-0,Diameter 44 mm Thickness 12 mm Shape Round Glass Sapphire Glass,Color Navy,Color Silver Width Material Stainless Steel,Quartz,20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202006/5032199398292558368.jpg_700x650.ashx,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202006/5349200060039203413.jpg_700x650.ashx,N\A,N\A,N\A
Seiko Domestic,SPB181J1,"HKD 6,280",N\A,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-907142/cm-0/d-0,Diameter       45 mm       Thickness       12.9 mm       Shape       Round       Glass       Sapphire Glass,Color       Black,Color       Silver       Width               Material       Stainless Steel,Automatic (6R35),20 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202101/4730852192360043543.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Sinn,1010.010B-2SL,"HKD 22,000","HKD 19,360",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900753/cm-0/d-0,Diameter 44 mm Thickness 14.7 mm Shape Round Glass Sapphire Glass,Color Blue,Color Silver Width 22 mm Material Stainless Steel,Mechanical,100 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/201907/5486800084350939349.png_700x650.ashx,N\A,N\A,N\A,N\A
Citizen Satellite Wave,CC5006-06L,"HKD 10,800","HKD 8,640",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906881/cm-0/d-0,Diameter       47 mm       Thickness       15.6 mm       Shape       Round       Glass       Crystal Glass,Color       Blue,Color       Blue       Width               Material       Rubber,Eco-Drive,20 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202011/5455982494734719646.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Sinn Diving,1010.010-2SL,"HKD 22,000","HKD 19,360",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-900751/cm-0/d-0,Diameter       44 mm       Thickness       14.7 mm       Shape       Round       Glass       Sapphire Glass,Color       Black,Color       Silver       Width       22 mm       Material       Stainless Steel,Mechanical,100 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/201907/5625249345301279855.png_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Prospex,SLA043J1,"HKD 35,800",N\A,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906920/cm-0/d-0,Diameter 39.9 mm Thickness 14.1 mm Shape Round Glass Sapphire Glass,Color Navy,Color Black Width Material Silicone,Automatic (8L35),20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202011/5075795237832612176.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Prospex,SPB185J1,"HKD 9,380",N\A,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906996/cm-0/d-0,Diameter 42 mm Thickness 12.5 mm Shape Round Glass Sapphire Glass,Color Black,Color Silver Width Material Stainless Steel,Automatic (6R35),20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202012/5268772424671811520.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Seiko Prospex,SPB189J1,"HKD 11,800",N\A,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906998/cm-0/d-0,Diameter 42 mm Thickness 12.5 mm Shape Round Glass Sapphire Glass,Color Black,Color Silver Width Material Stainless Steel,Automatic (6R35),20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202012/5350226901550425487.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Luminox Bear Grylls Survival,XB.3741,"HKD 7,600","HKD 6,080",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904621/cm-0/d-0,Diameter       45 mm       Thickness               Shape       Round       Glass       Harden Glass,Color,Color               Width               Material       Rubber,,20 ATM,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202005/5362869169199748793.png_700x650.ashx,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202003/4769858306118443270.jpg_700x650.ashx,https://citychainf01.easesales.com/upload/3F944AB2E078F2BA/202003/5453480387902369352.jpg_700x650.ashx,N\A,N\A
Citizen Promaster,BN0158-18X,"HKD 2,880","HKD 2,304",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906870/cm-0/d-0,Diameter       44 mm       Thickness       11.5 mm       Shape       Round       Glass       Crystal Glass,Color       Green,Color       Black       Width               Material       Rubber,Eco-Drive,20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202011/4784900338947700359.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Citizen Promaster,BN0159-15X,"HKD 2,880","HKD 2,304",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906872/cm-0/d-0,Diameter       44 mm       Thickness       11.5 mm       Shape       Round       Glass       Crystal Glass,Color       Red,Color       Black       Width               Material       Rubber,Eco-Drive,20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202011/5005095178048909515.jpg_700x650.ashx,N\A,N\A,N\A,N\A
Citizen Promaster,JR4065-09E,"HKD 4,000","HKD 3,200",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906891/cm-0/d-0,Diameter       44 mm       Thickness       14.3 mm       Shape       Round       Glass       Crystal Glass,Color       Black,Color       Black       Width               Material       Rubber,Eco-Drive,20 ATM,https://citychainf02.easesales.com/upload/3F944AB2E078F2BA/202011/4761169777218997558.jpg_700x650.ashx,N\A,N\A,N\A,N\A
