ProductName,ProductID,OriginalPrice,SalePrice,ProductURL
Casio G-Shock,GWG1000-1A3,"HKD 6,040","HKD 3,926",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905690/cm-0/d-0
Casio G-Shock,GAS100PC-1A,"HKD 1,330",HKD 864,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905662/cm-0/d-0
Casio G-Shock,GAS100B-1A2,"HKD 1,330",HKD 864,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905661/cm-0/d-0
Casio Baby-G,BSAB100MF-7A,"HKD 1,120",HKD 728,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905646/cm-0/d-0
Casio Baby-G,BA110DC-2A2,"HKD 1,390",HKD 903,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905625/cm-0/d-0
Casio Baby-G,BA110CA-4A,"HKD 1,190",HKD 773,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905623/cm-0/d-0
Casio G-Shock,DW5600CC-2,HKD 960,HKD 624,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904217/cm-0/d-0
Casio G-Shock,GA1100GB-1A,"HKD 2,190","HKD 1,423",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-902274/cm-0/d-0
Casio G-Shock H1000,GBDH1000-4,"HKD 3,680","HKD 2,870",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905168/cm-0/d-0
Casio G-Shock,GA700DE-2A,"HKD 1,260",HKD 756,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901675/cm-0/d-0
Casio G-Shock,GMDS6900MC-1,HKD 830,HKD 415,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901925/cm-0/d-0
Casio Baby-G,BGA240-4A,HKD 930,HKD 500,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-901665/cm-0/d-0
Casio Baby-G,BGA250-1A2,HKD 878,HKD 614,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905001/cm-0/d-0
Casio G-Shock,GWNQ1000NV-2A,"HKD 7,680","HKD 3,072",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-902291/cm-0/d-0
Casio ProTrek,PRW50FC-1,"HKD 5,190","HKD 3,373",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-906494/cm-0/d-0
Casio Protrek,PRW3510FC-1,"HKD 4,770","HKD 2,623",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905728/cm-0/d-0
Casio ProTrek,PRWS6100Y-1,"HKD 5,490","HKD 3,019",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905702/cm-0/d-0
Casio G-Shock H1000,GBDH1000-8,"HKD 3,680","HKD 2,870",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905169/cm-0/d-0
Casio G-Shock H1000,GBDH1000-1A7,"HKD 3,680","HKD 2,870",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905167/cm-0/d-0
Casio G-Shock H1000,GBDH1000-1,"HKD 3,680","HKD 2,870",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905166/cm-0/d-0
Casio G-Shock,GWA1000FC-1A4,"HKD 4,980","HKD 2,490",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905061/cm-0/d-0
Casio G-Shock,GWA1000D-1A,"HKD 5,080","HKD 2,540",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-905060/cm-0/d-0
Casio Baby-G,BGS100-1A,"HKD 1,130",HKD 678,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904988/cm-0/d-0
Casio Sheen,SHE3059PGL-7A,HKD 980,HKD 588,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904978/cm-0/d-0
Casio Sheen,SHE3048PG-4B,"HKD 1,320",HKD 924,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904977/cm-0/d-0
Casio G-Shock,GWA1100-1A,"HKD 5,490","HKD 3,019",https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904957/cm-0/d-0
Casio G-Shock,GAX100MB-3A,"HKD 1,430",HKD 715,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904952/cm-0/d-0
Casio Baby-G,BGA160-7B2,"HKD 1,090",HKD 654,https://www.citychain.com.hk/en/Product/EshopDetail/class-0/product-904762/cm-0/d-0
