ProductName,ProductID,OriginalPrice,SalePrice,ProductURL
Casio G-Shock,GMAS140-4A,HKD 904,"HKD 1,130",https://www.citychain.com.hk//en/Product/EshopDetail/casio/class-0/product-907324/cm-27600/d-0
Casio G-Shock,GMAS140-2A,HKD 904,"HKD 1,130",https://www.citychain.com.hk//en/Product/EshopDetail/casio/class-0/product-907323/cm-27600/d-0
Casio G-Shock,GMAS140-1A,HKD 904,"HKD 1,130",https://www.citychain.com.hk//en/Product/EshopDetail/casio/class-0/product-907322/cm-27600/d-0
Casio G-Shock,GMA-B800-8A,HKD 920,"HKD 1,150",https://www.citychain.com.hk//en/Product/EshopDetail/casio/class-0/product-907321/cm-27600/d-0
Casio G-Shock,GMA-B800-1A,HKD 920,"HKD 1,150",https://www.citychain.com.hk//en/Product/EshopDetail/casio/class-0/product-907320/cm-27600/d-0
Casio G-Shock,GAS100BMC-1A,"HKD 1,072","HKD 1,340",https://www.citychain.com.hk//en/Product/EshopDetail/casio/class-0/product-907319/cm-27600/d-0
Casio G-Shock,GA700BMC-1A,HKD 728,HKD 910,https://www.citychain.com.hk//en/Product/EshopDetail/casio/class-0/product-907318/cm-27600/d-0
Casio Protrek,PRW50Y-1B,"HKD 3,160","HKD 3,950",https://www.citychain.com.hk//en/Product/EshopDetail/casio/class-0/product-907292/cm-27600/d-0
Casio Protrek,PRW50Y-1A,"HKD 3,160","HKD 3,950",https://www.citychain.com.hk//en/Product/EshopDetail/casio/class-0/product-907291/cm-27600/d-0
Casio Protrek,PRT-B50-4,"HKD 1,472","HKD 1,840",https://www.citychain.com.hk//en/Product/EshopDetail/casio/class-0/product-907285/cm-27600/d-0
Casio Protrek,PRT-B50-2,"HKD 1,472","HKD 1,840",https://www.citychain.com.hk//en/Product/EshopDetail/casio/class-0/product-907284/cm-27600/d-0
Casio Protrek,PRG650YL-2,"HKD 2,720","HKD 3,400",https://www.citychain.com.hk//en/Product/EshopDetail/casio/class-0/product-907283/cm-27600/d-0
Casio Protrek,PRG600Y-1,"HKD 2,712","HKD 3,390",https://www.citychain.com.hk//en/Product/EshopDetail/casio/class-0/product-907282/cm-27600/d-0
Casio G-Shock,GMA-B800-9A,HKD 920,"HKD 1,150",https://www.citychain.com.hk//en/Product/EshopDetail/casio/class-0/product-907281/cm-27600/d-0
Casio G-Shock,GWB5600CT-1,HKD 944,"HKD 1,180",https://www.citychain.com.hk//en/Product/EshopDetail/casio/class-0/product-907280/cm-27600/d-0
Casio G-Shock,GMS5600SK-7,"HKD 1,344","HKD 1,680",https://www.citychain.com.hk//en/Product/EshopDetail/casio/class-0/product-907279/cm-27600/d-0
Casio G-Shock,GMS5600SB-1,"HKD 1,424","HKD 1,780",https://www.citychain.com.hk//en/Product/EshopDetail/casio/class-0/product-907278/cm-27600/d-0
Casio G-Shock,GM6900SG-9,"HKD 1,980",N\A,https://www.citychain.com.hk//en/Product/EshopDetail/casio/class-0/product-907277/cm-27600/d-0
Casio G-Shock,GM5600SG-9,"HKD 1,880",N\A,https://www.citychain.com.hk//en/Product/EshopDetail/casio/class-0/product-907276/cm-27600/d-0
Casio G-Shock,GM110SG-9A,"HKD 2,180",N\A,https://www.citychain.com.hk//en/Product/EshopDetail/casio/class-0/product-907275/cm-27600/d-0
